PLAYER,TEAM,AGE,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%
Aaron Brooks,MIN,33,2.6,3.6,72.4,0.2,0.8,27.3,0.6,1.2,47.8,0.5,1.1,44.4,1.6,3.4,48.8,0.8,2.3,32.8
Aaron Gordon,ORL,22,14.4,22.8,63.2,2.3,6.1,37.1,2.2,5.1,42.4,2.5,5.9,42.4,3.7,9.3,40.3,3.8,11.1,33.9
Aaron Harrison,DAL,23,9.9,14.3,69,1.9,5.3,35.4,1.8,2.7,66.7,2.4,4.7,52.4,2.9,8.7,33.3,3.2,8.4,38.2
Aaron Jackson,HOU,32,16,24,66.7,2,7,28.6,1,3,33.3,1,4,25,6,11,54.5,2,9,22.2
Abdel Nader,BOS,24,4.2,7.1,59.8,0.5,1.9,26.8,0.6,1.5,41.9,0.8,1.9,42.2,1.3,3,43.1,1.7,4.2,39.8
Adreian Payne,ORL,27,4,4.8,83.3,0.3,1,25,1,2,50,0.8,2,37.5,1.3,3.3,40,2.3,4.5,50
Al Horford,BOS,32,11.5,19.2,59.8,1.8,5.4,33.9,1.8,4.9,36,2.4,6.6,35.7,3.4,8.3,41.2,3.5,11.8,29.8
Al Jefferson,IND,33,4.9,7.4,65.9,1.1,2.3,46.8,1,2.7,38.7,1.3,2.9,45,0.9,3.1,30.8,2,5.9,34.6
Al-Farouq Aminu,POR,27,10.3,19,54.1,2.3,5.3,43.3,2.1,5.3,38.5,2.6,5.9,43.6,3.5,9,39.5,3.4,9.1,36.8
Alan Williams,PHX,25,4.2,9.4,44.7,1,2.2,45.5,0.8,1.6,50,0.8,2.2,36.4,1.2,2.2,54.5,1.4,5.2,26.9
Alec Burks,UTA,26,5.8,9.5,60.7,1.2,3.2,36.5,1.1,2.4,44.5,1.1,2.7,41.7,2.1,5.2,39.9,1.9,5.3,35.7
Alec Peters,PHX,23,3.9,6.9,55.8,0.9,1.6,54.8,0.8,1.7,44.8,0.7,2.1,35,1.2,3.5,32.8,1.7,4.7,36.2
Alex Abrines,OKC,24,5.5,9.2,60.2,1.1,3.1,34.6,1.1,2.2,48.4,0.9,2.1,43.6,1.9,5.5,35.3,1.8,4.8,37.7
Alex Caruso,LAL,24,6.5,10.1,64.4,1,2.5,39.1,1.1,2.2,48.7,0.8,2.6,30,1.4,4.2,34,1.9,5.9,31.9
Alex Len,PHX,25,7.7,12.8,60.1,1.4,3.3,41,1.4,3.4,41.6,1.8,4.3,41.8,2.6,6.4,41.1,2.9,7.7,37.1
Alex Poythress,IND,24,1.8,2.6,69.8,0.5,1.1,50,0.5,0.7,75,0.3,0.9,29.4,0.5,1.5,33.3,0.5,1.6,27.8
Alfonzo McKinnie,TOR,25,1.4,2.5,57.1,0.6,2.1,28.6,0.3,0.3,100,0.5,1,50,0.7,1.9,36.8,0.6,1.7,35.3
Allen Crabbe,BKN,26,10.7,18.1,59.3,2.7,6.7,40.6,2.7,6.3,43.3,3.3,6.9,47.2,3,8,38.1,2.8,7.7,36.1
Amir Johnson,PHI,31,5.5,9,60.7,1.2,3.3,37.4,1.1,2.6,41.1,1.2,2.9,39.7,1.5,4,36.5,2.1,6.2,34.4
Andre Drummond,DET,24,12.5,19.3,64.7,2.4,6.5,36.3,2.2,5.2,42.1,2.5,5.9,42.8,3.8,9.7,38.7,4.7,12.7,36.8
Andre Iguodala,GSW,34,9.1,15.2,60.1,2,5.2,38.4,1.9,4.7,40.6,1.7,4.9,34.5,2.1,6.3,32.6,3.3,9.7,33.5
Andre Ingram,LAL,32,14.5,24.5,59.2,1,4,25,3.5,5.5,63.6,0,2,0,2.5,7,35.7,5,14,35.7
Andre Roberson,OKC,26,8.8,14.1,62.5,1.6,4.1,39.6,1.3,3.4,37.6,0.9,3,30.8,4.4,11.2,39.3,2.3,7.9,28.7
Andrew Bogut,LAL,33,3.3,5.4,60.5,0.4,1.3,32.1,0.9,1.8,51.4,0.9,1.8,50,0.7,3,23.5,1.4,4.1,33
Andrew Harrison,MEM,23,7.7,12.7,60.8,1.2,3.3,36.4,1.4,3.6,40.3,1.3,3.6,36.2,2.8,6.8,41.7,3.3,9,36.4
Andrew White III,ATL,25,4.5,8,56.7,1,2.2,45.2,1,2.7,36.6,1.4,3.1,43.2,2.4,6.1,38.8,2.3,4.9,46.6
Andrew Wiggins,MIN,23,14.1,22.1,63.9,2.2,5.7,38.8,2,4.9,39.7,2.3,5.8,39.9,4.8,12.7,38,4.6,12.4,36.9
Ante Zizic,CLE,21,3.3,5.1,65.4,1,1.9,53.3,0.6,1,58.3,0.5,1.5,34.4,1,2.3,43.1,1.1,2.9,39.1
Anthony Brown,MIN,25,0,0,0,0,0,0,0,0,0,-,-,-,1,2,50,1,3,33.3
Anthony Davis,NOP,25,13.5,22.5,60.3,2.7,7,38.9,2.7,6.5,40.9,2.9,7.5,39.1,3.9,10.8,35.7,5.1,14.9,34.1
Anthony Tolliver,DET,33,7.4,12,61.6,1.7,4.4,37.7,1.3,3.1,40.9,1.7,4,41.8,2.6,6.5,40.3,3.2,8.7,36.4
Antonio Blakeney,CHI,21,6.1,9.8,61.8,1.1,1.8,58.8,0.7,1.7,39.4,0.8,2.8,30,3.3,7.4,44.4,1.9,6.8,28.7
Antonius Cleveland,ATL,24,2.8,4.7,59.2,0.7,1.5,47.4,0.6,2.2,28.6,0.6,1.4,45,1.1,2.9,40,1,2.9,35
Aron Baynes,BOS,31,5.9,9.9,59.5,1.3,3.4,38.7,1.2,3.1,39.1,1.5,4,38.6,1.7,4.9,35.3,2,6.7,30.4
Arron Afflalo,ORL,32,4.8,8.1,59.8,0.8,2.5,31.1,1,2.3,45.3,0.9,2.8,32.7,1.1,3.3,34.5,2,5.1,39.2
Austin Rivers,LAC,25,13,20.4,63.8,2.2,5.5,40.4,2.4,5.4,43.9,2.5,6.3,39.2,4.2,10.3,41,4.4,12.2,36.1
Avery Bradley,LAC,27,11.3,17.9,63.2,2.5,6.2,40,2.1,4.8,44.1,2.2,5.3,41.4,3.5,8.8,39.7,4.3,11.5,38
Bam Adebayo,MIA,20,7.1,12,59.5,1.3,3.7,34.4,1.2,2.8,42.5,1.4,3.5,39.7,2,5.1,39.3,2.2,6.6,33.2
Ben McLemore,MEM,25,7.1,11.3,63.2,1.2,3.1,39.3,1.2,2.6,44.5,1.1,3,37.5,2.2,5.4,40.7,2.6,7.4,35.9
Ben Moore,IND,23,1.5,1.5,100,0.5,0.5,100,1,1,100,0,1,0,1,2,50,1.5,2,75
Ben Simmons,PHI,21,11,19,57.9,2.5,6.5,38.1,2.4,5.9,40.5,3,7.2,41.5,3.1,8.4,37,4.7,14.2,32.8
Bismack Biyombo,ORL,25,7.4,12.2,60.7,1.2,3.4,34.9,1.4,2.7,49.8,1.4,3.5,39.7,2.2,5.2,42.1,2.2,6.4,34.8
Blake Griffin,DET,29,12.5,20.2,61.8,1.8,5.1,35.5,2.3,5.2,43.2,2.7,6.7,40.8,3.9,10.9,36.1,4.5,12.8,34.8
Boban Marjanovic,LAC,29,2.4,3.9,60,0.5,1.6,33.9,0.9,2,43.5,1.4,2.6,53,1.3,3.5,36.1,1.3,3.5,37.3
Bobby Brown,HOU,33,2.3,4,56.3,0.4,0.8,46.7,0.3,0.9,30.8,0.6,1,58.3,1,2.1,47.2,1.1,2.6,43.1
Bobby Portis,CHI,23,8.7,13.4,64.8,1.1,2.7,40.7,1.2,2.8,43,1.2,3.1,38.8,3.3,8.4,39.3,3.4,9.3,36.4
Bogdan Bogdanovic,SAC,25,10,15.7,63.4,2,4.4,45.5,1.4,3.3,41.9,1.7,4.1,42.1,3.7,9.3,39.9,3.9,10.3,38.3
Bojan Bogdanovic,IND,29,12.1,19,63.3,2.1,5,42.4,1.9,4.7,40.3,2,5.4,37.1,3,7.7,39.2,4.2,12.9,32.7
Bradley Beal,WAS,25,14,22.2,62.9,2.2,5.6,38.5,2,5.4,37.5,2.7,6.7,39.7,3.2,8.9,36.4,4.8,14.1,33.8
Brandan Wright,HOU,30,4.3,7.3,59,0.6,1.9,34,0.9,2.4,37.3,0.9,2.2,41.9,1.4,3.6,38,1.4,4.6,29.5
Brandon Ingram,LAL,20,13.8,23,60.2,2.1,5.7,37.4,1.8,4.7,37.9,2.7,6.5,41.1,3.1,8.9,34.5,4.9,13.3,36.6
Brandon Jennings,MIL,28,7.6,10.9,69.9,0.8,2.5,31.4,0.7,1.9,37,0.6,2.4,26.5,0.9,2.8,33.3,2.1,5.6,38.5
Brandon Paul,SAS,27,3.6,5.7,63.1,1,2,48.5,0.7,1.9,38.7,1,2.3,41.9,1,2.9,34.1,1.1,3.6,32.3
Briante Weber,MEM,25,5.9,9.4,63.3,0.9,1.5,58.3,0.7,1.7,40,0.5,0.9,50,1.7,3.9,42.9,2.7,5.9,45.3
Brice Johnson,MEM,24,2.6,3.5,75,0.4,0.9,42.9,0.3,0.7,36.4,0.1,0.7,20,0.5,1.4,36.8,0.9,3.2,29.1
Brook Lopez,LAL,30,9.3,15.4,60.1,2.1,4.8,43.5,1.4,3.5,40.3,1.8,4.7,38.5,2.4,6.3,38.1,3.5,9.2,38.3
Bruno Caboclo,SAC,22,2.8,4.4,64.2,0.8,2.3,34.8,0.2,1.2,16.7,0.6,1.8,31.3,1.5,4.1,35.6,0.7,1.9,36.8
Bryn Forbes,SAS,24,6.7,11,60.7,1.7,3.8,44,1.5,3.6,42.4,1.5,3.9,39.3,2,5.2,38.6,2.2,6.2,35.1
Buddy Hield,SAC,24,8.6,13.6,63.1,1.7,4.2,40.2,1.4,3,46.9,1.4,3.5,39.7,3.2,8.4,38.1,3.4,9.8,35
C.J. Williams,LAC,28,7,11.4,61.6,1,3,34.3,1.3,3.3,39.2,2,5,39.8,2.6,6.2,42.6,2.5,7.5,33.3
CJ McCollum,POR,26,12.3,22.5,54.6,2.6,5.8,45,2.6,6.4,40.1,3.4,7.9,43.4,4.4,10.9,40.1,4,10.6,37.5
CJ Miles,TOR,31,7.1,12.6,56.7,1.4,4,33.8,1.3,3,43.3,1.3,3.2,42.1,1.5,4.2,35.1,2.1,5.8,36.2
Caleb Swanigan,POR,21,2.3,4,57.7,0.6,1.4,39.3,0.6,1.2,52,0.7,1.5,48.6,1,2.8,37.3,0.6,2.2,27.6
Cameron Payne,CHI,23,8.4,12.9,64.9,1.6,3.1,53.2,0.9,2.7,33.8,1.6,3,52.6,3.8,9.4,40.7,3.4,10.4,33.2
Caris LeVert,BKN,23,9.3,15.8,58.7,2.2,5.1,42.8,2.1,4.9,42.5,2.7,6.3,42.4,3.2,7.9,39.9,3.2,8.7,36.9
Carmelo Anthony,OKC,34,12.1,19,63.8,2.2,5.5,40,1.8,4.5,40.6,1.7,4.5,36.9,4.8,12.4,38.9,3.5,9.7,36.1
Cedi Osman,CLE,23,4.4,7.2,61.4,1.1,2.3,47.2,1,2.1,47.7,0.8,2.3,37.4,1.3,3.5,37.5,2,5,40.2
Chandler Parsons,MEM,29,7,10.9,63.7,1.3,2.9,45.3,1.1,3.1,36.6,0.8,2.7,30.2,2.3,4.8,48,2.8,7.4,36.9
Channing Frye,LAL,35,4.9,8.1,60.7,0.9,2.3,37.2,0.9,2.1,43,0.9,2.8,34.1,1.5,3.7,39.3,1.9,5.5,34.4
Charles Cooke,NOP,23,0.9,2.1,43.5,0.6,1.1,50,0.1,0.2,50,0.2,0.8,25,0.2,0.6,33.3,0.7,1.2,57.1
Cheick Diallo,NOP,21,4.6,7.5,61.4,1.3,2.5,52.9,0.7,2,33.3,1,2.4,43.8,1,3.2,32.3,1.9,4.8,39.3
Chinanu Onuaku,HOU,21,7,14,50,1,3,33.3,0,1,0,0,1,0,2,6,33.3,3,10,30
Chris Boucher,GSW,25,1,1,100,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-
Chris McCullough,WAS,23,1.9,2.7,69.4,0.1,0.8,15.4,0.3,0.9,28.6,0.5,0.9,50,0.5,1.3,42.1,0.9,2.4,37.8
Chris Paul,HOU,33,12.2,19.7,61.7,2.6,6.1,41.7,1.8,4.6,39.7,1.7,4.4,38.3,3.6,9.1,39.3,4.1,11.6,35.1
Clint Capela,HOU,24,11.6,18.4,63.4,2.3,5.3,43.1,1.8,4.6,39.6,1.4,3.9,36.2,3,7.9,37.7,3.3,9.4,35.3
Cody Zeller,CHA,25,6.9,10.4,66.8,1.2,3.5,36,1.2,2.6,44.8,1,2.7,37.8,2.2,5.4,39.9,2.5,7.5,32.9
Cole Aldrich,MIN,29,1,1.3,78.9,0.1,0.3,20,0.3,0.6,50,0.2,0.5,42.9,0.6,1.2,50,0.2,0.8,25
Corey Brewer,OKC,32,6.8,11.2,60.9,1.3,3,42,1,2.4,42.8,1.1,2.7,39.3,2.1,5.6,37.9,2.4,6.1,39.5
Cory Joseph,IND,26,9.7,15,64.5,1.7,4.1,42.2,1.6,3.9,40.5,2.3,5.1,44.9,2.7,6.6,40.7,3.8,12,31.2
Courtney Lee,NYK,32,11.4,19.2,59.2,1.7,4.6,37.7,1.8,4.1,43.2,2.1,4.9,42.1,4,9.8,40.6,4.3,12,36
Cristiano Felicio,CHI,25,6.8,10.3,66.2,0.9,2.2,43.5,0.9,2.2,41.8,1,2.4,41.5,2.6,6.9,37.2,2.8,7.5,37.6
D'Angelo Russell,BKN,22,10.6,18.2,58.2,2.6,6.1,42.1,2.2,4.8,44.8,2,5.1,39.2,2.7,6.8,40.3,3,7.5,40.4
D.J. Augustin,ORL,30,9.7,15.2,63.7,1.5,4,37.9,1.5,3.5,42,1.6,4.4,36.3,2.5,6.7,36.8,2.8,8.4,33.2
D.J. Wilson,MIL,22,1.8,2.5,69.8,0.6,0.7,83.3,0.1,0.2,33.3,0.4,1.1,33.3,0.4,1.4,31.6,0.6,1.1,52.6
Dakari Johnson,OKC,22,1.7,2.7,62.7,0.4,1.3,32.1,0.4,1,42.9,0.4,1.1,32,0.6,2.2,27.6,0.6,1.8,34.7
Damian Jones,GSW,22,2.3,3.9,57.6,0.4,1.2,33.3,0.7,1.2,61.5,0.4,1.1,37.5,0.7,2,33.3,0.5,2.5,21.2
Damian Lillard,POR,27,12.2,22.4,54.5,2.8,6.2,46,2.7,6.6,41,3.2,7.5,42.3,4.4,11.4,38.4,3.9,10.8,36.1
Damien Wilkins,IND,38,2.9,4.8,60.9,1.1,1.8,60.7,0.6,1.4,45.8,0.9,2.3,41,0.4,1.5,23.8,0.8,3.2,25.9
Damion Lee,ATL,25,9,14.7,61.1,1.7,4.1,41,1.9,5.6,34.5,2.6,5.2,50,3.7,9.3,39.3,3.5,11.3,30.8
Damyean Dotson,NYK,24,3.8,6.7,57.1,0.9,2.4,37,0.7,1.5,42.6,0.9,2.3,40.9,1.3,3.9,34.2,1.3,4,31.6
Daniel Hamilton,OKC,22,2.2,3,72.2,0.5,2.5,20,1,2,50,0.3,0.5,50,0.7,1.7,40,0.2,2,8.3
Daniel Theis,BOS,26,5.3,9.5,56.4,0.8,2.4,34,0.7,2,35.8,1.1,2.7,38.4,1.3,3.5,36.8,2.1,5.6,38
Danilo Gallinari,LAC,29,10.7,18.1,58.8,2.1,5.6,37.6,2.5,5.2,48.2,2.5,6.8,36.6,3.9,10.1,38,4.2,12.1,35
Danny Green,SAS,31,8.8,14.9,59.2,1.7,5,34,1.9,4.3,45,2.1,4.8,43.2,2.6,7.2,35.6,2.9,8.2,35.3
Dante Cunningham,BKN,31,8.3,13.3,62.6,1.9,4.4,43.5,1.6,3.8,42.1,1.8,4.4,40.3,2.2,6.3,35.4,2.9,7.8,36.7
Dante Exum,UTA,22,4.8,9.7,49.3,1.6,4.5,36.5,1.2,3.3,37,1.2,3.9,31.5,1.7,3.9,44.4,1.9,4.7,40.9
Danuel House,PHX,25,5,9.1,54.5,1.4,3.2,43.7,1.5,3.4,44,1.7,3.9,44.7,1.6,4.8,33.3,3,7.7,38.2
Dario Saric,PHI,24,9.7,16.9,57.6,2.2,5.5,40.2,1.9,5.1,37.3,2.6,6.5,40,2.9,7.8,36.8,4.3,12.1,35.3
Darius Miller,NOP,28,9.4,14.9,62.9,2.2,4.9,44.9,1.6,4,38.9,1.8,4.3,41.5,2.3,6.7,34,3.2,9.5,33.5
Darrell Arthur,DEN,30,3.9,5.7,68,0.7,1.9,37,0.6,1.4,42.1,0.9,1.8,48.3,0.6,1.9,30.3,1.3,2.9,44.9
Darren Collison,IND,30,11,17.2,63.6,2.1,4.7,44,1.8,4.2,43.2,2.2,5.2,41.7,2.7,7.1,38.6,4.6,12.6,36.4
Darrun Hilliard,SAS,25,2.4,3.5,68.9,0.6,1.3,50,0.8,1.5,50,0.8,1.8,43.5,0.8,1.5,52.9,0.9,2.9,29.3
David Nwaba,CHI,25,9.7,14.9,65.1,1.2,3,39.3,1.2,2.7,42.6,1.4,3.3,41.1,3.2,8.9,36.3,3.6,9.8,36.2
David Stockton,UTA,27,1.7,2,83.3,0,0.3,0,0.7,1,66.7,0,0,0,0.5,1,50,0.7,1.3,50
David West,GSW,37,5.2,8.5,61.1,0.9,2.7,33.8,0.9,2.5,34.2,1,2.5,39.1,1.1,3.3,32.1,1.6,4.9,33.2
Davis Bertans,SAS,25,5.1,8.7,59,1.2,2.9,41.1,1.1,2.7,39.8,1.2,3.2,38.7,1.8,4.3,41.6,1.7,5.1,33.2
Davon Reed,PHX,23,4.6,7.6,60,0.8,1.7,44.4,0.6,1.9,30.6,1,2.9,34.6,1.3,3.1,41.9,1.7,4,42.2
De'Aaron Fox,SAC,20,10.4,16.5,63.2,1.8,4.6,39.5,1.4,3,45,1.5,3.7,39.3,3.9,9.8,39.6,4.1,10.6,38.3
DeAndre Jordan,LAC,29,11.5,18.2,63.3,1.9,4.8,40.7,2.3,5.4,43.4,2.5,6.7,38,4,10.2,39.5,4.3,12.1,35.2
DeAndre Liggins,NOP,30,5.1,8.4,61.2,0.9,2.1,40.2,0.7,1.9,39.2,0.9,2,43.9,1.2,3.1,38.3,1.7,4.4,38.9
DeAndre' Bembry,ATL,23,6,9.5,63.6,1,2.4,41.9,1.3,2.7,46.5,1.6,4,39.6,2.6,5.9,44.2,2.5,7.2,34.3
DeMar DeRozan,TOR,28,12.8,21.8,58.6,2.3,6.6,34.5,2.6,6.1,42.7,2.8,6.7,42.6,2.8,7.8,36.1,4.3,11.4,37.5
DeMarcus Cousins,NOP,27,12.8,20.5,62.3,2.7,6.4,42.7,2.3,5.3,42.7,2.8,7.3,38.8,4.2,11.3,37.2,5.4,14.3,37.7
DeMarre Carroll,BKN,31,10.8,18.4,58.6,2.9,7,41.1,2.5,6.2,40.8,3.2,6.8,47,3.2,8.3,38.2,2.9,7.9,36.2
Dejounte Murray,SAS,21,7.2,12.9,55.7,1.7,4.3,40,1.6,3.8,42.8,1.7,4.4,39.9,2.2,6.2,35.3,2.4,6.7,35.5
Delon Wright,TOR,26,7.8,13.7,56.9,1.4,3.9,34.9,1.3,3.1,42.5,1.4,3.1,44.7,1.6,4.8,33.1,2.4,6.4,36.6
Demetrius Jackson,PHI,23,1.9,2.8,69,0.4,1.4,29.4,0.2,0.9,18.2,0.5,1,50,0.6,1.4,45,1.1,2.9,37.2
Dennis Schroder,ATL,24,11.5,18.6,62.1,2,4.5,45,2.4,5.4,45.1,2.6,5.6,45.5,4.3,11,38.8,4.1,10.6,38.7
Dennis Smith Jr.,DAL,20,10.5,16.2,65.1,2.3,5.6,40.6,2.1,4.5,46.5,2.2,5.3,41.3,4,9.4,43.2,3.9,11,36
Denzel Valentine,CHI,24,10.3,16.2,63.4,1.5,3.7,41.1,1.5,3.9,39.6,2,4.4,46,3.8,9.5,40,3.6,10.4,34.6
Derrick Favors,UTA,26,9.4,15.5,60.7,2.3,5.6,40.4,2.1,5.1,40.4,2.2,5.5,39.4,3.3,8.1,40.1,3.1,8.5,36.1
Derrick Jones Jr.,MIA,21,4.7,8.9,53.1,1.2,3,38.9,1,1.9,51.4,1.2,2.6,44.7,1.1,3,37,1.4,4.4,32.1
Derrick Rose,MIN,29,7.9,12.6,62.7,1.1,3,36.5,1.5,3.1,49.3,1.6,3.2,49.4,2,4.7,42.7,2,5.6,35.8
Derrick Walton Jr.,MIA,23,3.1,5.5,56.6,0.8,2.4,32.4,0.5,1.3,38.9,0.3,1.1,31.3,0.9,1.9,46.4,2,4.7,42.7
Derrick White,SAS,23,3.3,5.3,62.4,0.4,1.5,23.8,0.7,1.7,40.9,0.6,1.9,33.3,0.8,2.8,28.2,0.9,3.6,25.9
Derrick Williams,LAL,27,0,1,0,1,3,33.3,2,2,100,0,0,0,0,1,0,0,1,0
Devin Booker,PHX,21,14,22.6,62,2.2,5.5,39.8,2.1,5.4,39.2,2.7,6,44.3,4.3,11.1,38.3,4.9,12.8,37.8
Devin Harris,DEN,35,6.7,10.6,63.6,1.1,3,37.4,1.3,3.1,40.5,1.4,3.7,36.6,2.6,6.8,38.9,2.1,5.8,36.1
Devin Robinson,WAS,23,2,3,66.7,1,2,50,0,1,0,1,5,20,0,3,0,2,3,66.7
Dewayne Dedmon,ATL,28,8.2,13.5,60.7,1.5,3.5,42.5,1.8,4.2,43.3,2.4,5,48.4,3.4,9,37.4,3.4,9.4,36.6
Deyonta Davis,MEM,21,5.9,9.5,62,0.9,2.4,38.8,1,2.3,42.2,1,2.1,46.3,1.8,4.6,39.6,1.8,5.9,30.3
Dillon Brooks,MEM,22,9.9,16,62,1.6,4.2,38,1.7,4.4,39,1.6,4.1,39.8,3.3,8,40.8,3.6,10.8,33.4
