PLAYER,TEAM,AGE,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%
Dion Waiters,MIA,26,10.7,18.2,58.5,2.5,6.3,38.9,1.9,4.9,38.1,1.8,4.9,35.8,3.5,8.2,42.9,3.6,9.2,38.6
Dirk Nowitzki,DAL,40,8.3,12.5,66,1.8,4.5,39.1,2,4.3,47,2.2,5.1,42.3,3.5,8.4,41.2,3.2,8.6,36.7
Domantas Sabonis,IND,22,9.2,14.2,64.5,1.4,3.6,40.7,1.4,3.5,41.6,1.9,4.6,41.8,2.4,6.2,39.2,3.4,10.5,32.8
Donovan Mitchell,UTA,21,11.1,18.3,60.6,2.6,6.5,40,2.2,5.9,36.6,2.6,6.5,40,3.7,9.6,38.2,3.6,10.4,35
Dorian Finney-Smith,DAL,25,7.5,11.5,64.9,1,4.1,24.4,1.7,3,54.7,1.4,4.1,33.7,3,7.2,40.8,2.2,6.3,34.8
Doug McDermott,DAL,26,7.4,12.7,58.4,1.5,4.1,38,1.2,3,40.1,1.8,4,43.6,2.7,6.8,40,2.8,8,35
Dragan Bender,PHX,20,10.1,16.8,60.3,1.7,4.1,40.8,1.7,4,43.3,2.2,4.8,45.4,3.1,7.5,41.5,3.4,9.6,35
Draymond Green,GSW,28,12,19.8,60.7,2.3,6.5,34.9,2.3,6.2,36.5,2.3,5.9,39,3.7,9.8,37.3,4.7,12.9,36.4
Dwayne Bacon,CHA,22,5,8.2,61.6,1,2.5,39.5,1.1,2.5,43.3,1.4,3.3,41.4,1.3,3.8,35,2.1,5.7,35.8
Dwight Buycks,DET,29,5,8.4,59.4,0.9,2.7,34.7,0.9,2.1,41.4,0.7,2.3,32.8,1.9,5.1,36.8,2,5.6,36.2
Dwight Howard,CHA,32,10.5,16.7,62.9,2.2,5.5,39.2,2.6,6.2,42.3,2.9,7.2,40,3.4,8.6,40,4.7,12.5,37.5
Dwight Powell,DAL,26,7.1,10.7,66.5,1.3,3.5,37.9,1.4,3.2,42.3,1.5,3.9,37.6,2.9,7.2,40.5,2.7,7.8,34.8
Dwyane Wade,MIA,36,8.7,14,62.3,1.3,3.4,39,1.2,3.2,38.4,1.5,3.9,38.2,2.6,6.5,39.3,3.2,9.9,32.7
E'Twaun Moore,NOP,29,12,20,60,2.4,6,40.2,2.2,5.4,40.7,2.5,6.4,39.4,3.4,9.3,36.1,4.8,12.6,37.8
Ed Davis,POR,29,6,11.2,53.7,1.4,3.1,44.2,1,2.8,37.2,1.6,3.9,39.9,2.2,5.8,37.7,2.2,5.7,37.7
Edmond Sumner,IND,22,1,1,100,1,1,100,0,0,0,0,0,0,0,2,0,1,1,100
Ekpe Udoh,UTA,31,4.5,7.7,59.1,0.8,2.3,35.7,0.7,1.6,42.3,0.8,2,39.8,1.6,3.8,42.9,1.2,4,30.8
Elfrid Payton,PHX,24,12.9,20.4,63,2,5.5,36.4,2.1,4.6,46.4,2.4,5.4,44,3.8,8.4,45.3,3.5,9.4,37.8
Emeka Okafor,NOP,35,5.5,10.4,53.3,1.4,3.5,40.2,0.8,2.2,37.9,1.2,3.2,37.3,1.2,3.1,37,2,5.3,38
Emmanuel Mudiay,NYK,22,7.9,12.9,61.1,1.3,3.4,36.9,1.1,2.7,40,1.4,3.2,43.8,2.8,6.6,42.4,2.6,6.7,38.8
Enes Kanter,NYK,26,9.9,16.3,61,1.8,4.3,41.4,1.4,3.4,42.3,1.8,4.3,42.2,3.4,8.2,41.3,3.7,9.9,37.2
Eric Bledsoe,MIL,28,12.9,21.4,60.3,1.5,4.5,34.4,1.8,4.7,37.9,1.9,5,38,2.6,6.8,38.7,4.6,12.4,37.3
Eric Gordon,HOU,29,12.8,20.4,62.9,2.3,5.6,40.9,1.8,4.9,36.4,1.7,4.5,37.9,3.2,8.8,35.7,3.8,11.6,32.6
Eric Moreland,DET,26,4.1,6.9,59.2,0.8,2.2,35.2,0.5,1.5,36.7,0.6,1.9,32.8,1.4,3.5,39.6,1.8,5.1,35.5
Erik McCree,UTA,24,1.3,1.3,100,0.7,1,66.7,1,1,100,0,1,0,0.3,0.3,100,0,0.7,0
Ersan Ilyasova,PHI,31,8.9,15,59.6,1.6,4.1,38.3,1.8,4.3,42.3,2,4.7,42.1,3,7.7,38.5,3.3,8.8,37.1
Evan Fournier,ORL,25,14.1,22.2,63.3,2.2,6.1,36.5,2.2,4.9,44.1,2.9,6.1,46.6,3.8,9.3,40.4,3.7,10.6,34.8
Evan Turner,POR,29,8.6,15.6,55.4,2.3,4.7,48.1,1.8,4.4,41.7,2.3,5.6,41.2,3.1,8,38,2.7,7.9,34.6
Frank Kaminsky,CHA,25,8.6,12.9,66.6,1.6,3.8,41.1,1.7,3.6,47.2,1.8,4.2,41.5,2.4,6.4,37.6,3.6,9.4,38.3
Frank Mason,SAC,24,6.4,10.3,62.1,1.6,3.4,48,1.1,2.6,40.6,1.2,2.8,41.7,2.3,6.5,36.2,2.2,6.2,35.9
Frank Ntilikina,NYK,19,7.4,12.9,57.1,1.5,3.8,39.8,1,2.7,36.2,1.4,3.7,38.9,2.7,7,38.5,2.7,7.6,35.5
Fred VanVleet,TOR,24,7,12.8,54.8,1.3,3.9,33.2,1.5,3.3,44.6,1.2,3,40.7,1.7,4.7,35.9,2.2,6.4,34.6
Furkan Korkmaz,PHI,20,2.9,3.8,76,0.7,1.7,42.1,0.2,0.9,20,0.6,1.6,36.8,1.1,1.5,73.3,0.6,1.9,33.3
Garrett Temple,SAC,32,8.3,13.6,61.2,1.7,4.2,41.4,1.2,2.7,44.3,1.3,3.1,41.5,3,8.1,37.3,3.8,9.8,38.4
Gary Harris,DEN,23,13.7,21.5,63.8,2.5,6.3,40.2,2.2,5,43.9,2.7,6.1,44.1,4.6,12.1,37.9,3.5,9.8,36.2
Gary Payton II,LAL,25,4,7.1,55.8,0.9,1.7,52.9,0.6,1.3,43.5,0.9,1.9,48.7,1.2,3,40.6,1.4,3.8,36.1
George Hill,CLE,32,9.8,15.6,63.1,2,4.4,45.2,1.6,3.5,45.5,1.6,4,40.7,3.3,8.4,39.6,4.1,10.7,38.1
Georges Niang,UTA,25,1.1,1.5,75,0.3,0.9,28.6,0.7,1.2,57.1,0.2,1.2,14.3,0.8,2.2,38.5,0.3,0.9,28.6
Georgios Papagiannis,POR,20,3.6,5.2,68.5,0.1,0.5,12.5,0.3,1.2,27.8,0.3,0.7,45.5,1.6,3.2,48.9,1.1,2.6,41.5
Gerald Green,HOU,32,9,14.4,62.8,1.8,4.3,42,1.2,2.9,41.2,1.2,3.2,37.2,2,6.6,30.7,3,8.9,33.7
Gian Clavell,DAL,24,2.7,4.1,65.5,0.3,1.3,25,0.6,1.3,44.4,0.4,1.3,33.3,1.2,2.3,50,1.3,4.6,28.1
Giannis Antetokounmpo,MIL,23,14.4,24.2,59.3,2,5.3,37.8,2,5.1,39.8,2.3,6,37.9,3,8.2,37.2,5.3,14.3,37.4
Glenn Robinson III,IND,24,4.5,7.5,59.5,1.3,2.7,49.2,1,2.3,40.7,1.4,2.8,48.4,1.4,3.7,38.1,2,6,32.8
Goran Dragic,MIA,32,11.4,19.2,59,2.6,7.2,36.4,1.9,4.9,37.5,2.2,5,44.5,2.9,7.7,37.4,3.9,10.7,36.8
Gordon Hayward,BOS,28,1,2,50,0,0,0,1,2,50,0,1,0,1,1,100,0,2,0
Gorgui Dieng,MIN,28,6.9,10.5,65.3,1.1,2.6,43.6,0.8,2,40.8,1.1,2.4,44.3,2.3,6,37.8,2.4,5.9,40.2
Greg Monroe,BOS,28,9.2,14.3,64.7,1.4,3.4,42,1.3,2.9,44.1,1.4,3.3,43.6,2,5.1,39.6,2.4,6.8,34.8
Guerschon Yabusele,BOS,22,2.9,4.8,60.5,0.4,1.1,35.3,0.3,0.9,39.1,0.5,1.3,38.2,0.9,1.9,44.8,1,2.8,35.2
Harrison Barnes,DAL,26,12,18.3,65.8,2.6,6.8,38.3,2.4,5.3,45.6,2.6,6.5,40.6,4.1,10.2,40.3,4.3,11.9,36
Hassan Whiteside,MIA,29,8.5,14.9,57.1,2.2,6,36.6,1.6,4.2,37.3,1.9,4.2,44.1,2.4,6.2,38,3.3,9.1,36.4
Henry Ellenson,DET,21,3.7,5.2,70.9,0.8,2.1,38.5,0.5,1.3,36.6,0.4,1.4,30.4,1.3,3.4,36.9,1,4,25.5
Ian Clark,NOP,27,8.1,13.1,61.5,1.8,4.1,42.9,1.2,3.1,37.7,1.5,3.7,39.7,1.9,5.4,34.8,2.5,7.6,33.3
Ian Mahinmi,WAS,31,5.1,8.2,62.7,0.9,2.3,39.4,0.9,2.1,45.2,1.2,2.8,41.1,1.5,3.8,39.2,2,5.9,34.1
Ike Anigbogu,IND,19,1.8,2.8,64.3,0.7,1,66.7,0.6,0.7,83.3,0.3,1,33.3,0.2,0.8,20,0.3,0.9,37.5
Iman Shumpert,SAC,28,7.6,11.8,64.2,1.3,4.1,31,0.8,2.4,33.3,1.4,3.6,40,2,5,40,2.9,9.6,30.6
Isaiah Canaan,PHX,27,7.9,13,60.8,1.4,3.1,45.2,1.7,3.4,50.7,1.6,4,39.2,2.8,6.8,40.7,2.1,6.6,31.1
Isaiah Hicks,NYK,23,4.8,8.3,57.7,1.4,3.1,46,0.9,2.1,44.4,0.9,2.3,38.1,1.4,4.2,32.9,1.9,4.9,39.8
Isaiah Taylor,ATL,23,5.9,9.6,61.4,0.9,2.3,39.1,1.3,3.3,41,1.5,3.6,42.1,2.5,6.3,39,2.2,6.8,33
Isaiah Thomas,LAL,29,11.7,18.1,64.9,2.6,5.6,46.4,1.8,4.2,42.1,2.2,4.9,44.7,3.3,8.5,38.7,3.4,9.8,35.1
Isaiah Whitehead,BKN,23,4.4,7.2,60.9,1.1,1.9,57.1,0.5,1.8,29.6,0.9,2,46.4,1.5,4.7,31,0.9,3.6,25.9
Ish Smith,DET,29,9.1,14.4,63.6,1.6,4.8,34.2,1.6,3.7,43.2,1.7,4.2,39.8,2.6,7.3,34.9,3.6,9.8,36.7
Ivan Rabb,MEM,21,6.1,9.4,65.4,1.1,2.5,43,0.6,1.7,38.2,1.1,2.4,44.7,1.8,4.7,39,2,5.6,35.4
Ivica Zubac,LAL,21,3.3,6,55.6,0.9,2.3,41,0.6,1.4,46.2,0.8,2.2,36.1,1.2,3.6,33.3,1,3.5,28.4
J.J. Barea,DAL,34,7.7,11.5,67,1.4,4,35,1.9,4,47.1,1.8,4.7,39,3,7.6,40,2.9,8.1,36.3
JJ Redick,PHI,34,9.6,17,56.2,2.3,5.9,39.3,2.4,5.6,42.3,2.6,6.5,39.6,2.8,7.4,38.6,4.5,13.1,34.5
JR Smith,CLE,32,11.7,18.1,64.4,2,4.8,41.1,1.7,3.8,43.9,2.1,4.9,43.4,3.3,7.7,42.3,4.2,11.5,36.7
JaKarr Sampson,SAC,25,4.9,8.9,54.9,1.1,2.5,44.4,0.8,1.6,46.9,0.8,2,39.5,1.9,5.4,35.6,1.7,6.4,25.9
JaMychal Green,MEM,28,9.8,15.1,64.7,1.7,3.9,42.9,1.6,4.3,37.8,1.5,4.2,36.6,3.4,8.2,40.9,3.8,10.6,35.6
JaVale McGee,GSW,30,3.7,6.1,60.1,0.7,2,37.6,0.8,1.6,49,0.7,1.9,38.7,1.1,2.7,39.5,1.3,3.7,36.3
Jabari Bird,BOS,23,4.4,6.8,64,0.8,2,38.9,0.6,1.3,50,0.6,1.9,29.4,1,3.7,27,1.5,4,38.5
Jabari Parker,MIL,23,11,18,60.8,1.1,3.3,32,1.4,3.1,44.3,1.4,4.3,31.8,1.8,5,37,3.5,9.2,37.5
Jack Cooley,SAC,27,3.9,6.3,61.4,1.5,2.5,60,1,1.3,77.8,1.1,2.4,47.1,1.6,4.3,36.7,0.5,4.8,10.3
Jacob Pullen,PHI,28,2.5,3,83.3,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,1,0
Jacob Wiley,BKN,23,1.8,3.4,52.9,1,1.8,57.1,0.7,1.7,40,0.2,1.2,16.7,0.8,3.3,23.1,0.6,2.2,27.3
Jae Crowder,UTA,27,9.7,15.5,62.6,2,5,39,1.6,4.2,39.1,2.2,5.2,42.2,2.9,7,41.5,3.6,9.6,37.2
Jahlil Okafor,BKN,22,4,6.5,61.3,1.4,2.6,52.1,1.7,3.3,51.1,1,2.4,40.3,1.6,4.3,38.7,1.3,3.4,38.5
Jake Layman,POR,24,1.5,2.6,58.8,0.5,0.9,52.4,0.3,0.9,36.4,0.3,1,33.3,0.7,1.9,38.2,0.7,1.7,40.4
Jakob Poeltl,TOR,22,6.9,12.3,56.2,1.2,3.5,34.4,1.3,2.8,47.6,1.2,2.9,41.1,1.6,4.3,37.9,2.1,5.7,36.4
Jalen Jones,DAL,25,4.3,6.6,64.6,0.7,2,35.7,0.9,1,85.7,1.7,3.1,55,1.6,4.7,34.8,1.9,4.1,47.4
Jamal Crawford,MIN,38,8.7,13.1,66.5,1.4,3.5,38.7,1.2,2.7,43.5,1.3,3.1,41.2,2.9,7.2,40.2,2.5,6.6,38.3
Jamal Murray,DEN,21,12.3,19.5,62.9,2.5,6.1,40.5,2,4.7,43.2,2.5,5.4,45.9,4.2,11,38.6,3.6,9.1,39.9
Jameel Warney,DAL,24,2.7,3.7,72.7,0.7,1.3,50,0.7,1.7,40,1,1.3,75,1.3,3.7,36.4,1,4,25
Jameer Nelson,DET,36,7,11.2,62.1,1.9,4,47,1.2,3.1,39.9,1.4,3.5,38.9,2.4,6.3,37.5,3,7.9,37.9
Jamel Artis,ORL,25,6.8,12,56.7,1.1,3,35.7,0.9,2.2,42.9,0.9,3.1,30.4,2.3,5.4,42.7,2.7,7.9,34.2
James Ennis III,DET,27,8.2,12.8,63.9,1.3,3.7,36.2,1.4,3.2,42.7,1.3,3.3,38.6,2.6,6.5,40.1,2.7,8.4,32.7
James Harden,HOU,28,14.5,22.6,64.3,2.5,6.2,41.3,2.2,5.4,39.5,1.8,5.1,36.1,3.7,10.3,36.1,4.7,13,35.9
James Johnson,MIA,31,9.2,16.1,57.5,2.2,5.8,37.9,1.4,3.9,36.2,1.9,4.3,42.9,2.5,6.8,36.7,3.4,9.5,35.7
James Michael McAdoo,PHI,25,3,3.7,81.8,0.3,1.3,25,0.3,1,33.3,0.7,1.7,40,0,0.7,0,0.7,2,33.3
James Webb III,BKN,24,4.6,7.4,62.2,1.2,2.2,54.5,0.6,1.8,33.3,0.9,2.6,33.3,1.3,4.2,31.6,1.3,3.2,40.6
James Young,PHI,22,3.3,4.8,69,0.2,1.7,10,0.5,2,25,0.4,2.2,18.2,0.7,2.5,26.7,2.2,5.3,40.6
Jamil Wilson,LAC,27,5.4,9.1,59.6,1.4,3.3,42.9,1.1,3.7,28.6,2.1,4.8,42.9,2,5.3,38,2.5,7.4,34
Jared Dudley,PHX,32,4.8,8,59.9,1,2.2,45.6,1.3,2.7,49.2,1.2,2.7,45,1.6,4.5,35.5,1.9,5.1,37.3
Jarell Eddie,CHI,26,0.7,1.3,50,-,-,-,0,0.3,0,0,0,0,0.3,0.7,50,0.7,1.3,50
Jarell Martin,MEM,24,7.6,12.5,60.8,1.3,3.5,35.9,1.5,3.5,41.3,1.5,3.3,44.2,2.7,6.5,40.8,2.9,8.4,34.7
Jarrett Allen,BKN,20,7.5,13,57.6,1.9,4.6,42.7,1.5,3.6,40.8,1.9,4.4,42.2,2.4,6,39.8,2.1,5.8,36.3
Jarrett Jack,NYK,34,8.8,15.2,58.1,1.5,3.9,38.4,1.6,3.4,47.6,2,4.6,43.2,3,7.6,39.8,3.8,10.3,36.6
Jason Smith,WAS,32,3.2,4.9,65.4,0.6,1.8,34,0.3,0.9,34.6,0.5,1.4,36.4,1.1,2.6,42.2,1.5,4,36.6
Jason Terry,MIL,40,6.9,11.3,60.9,0.9,2.2,41.3,0.9,2,44.7,0.9,2.5,34.9,1.4,3.8,36.2,2.2,5.7,37.6
Jawun Evans,LAC,21,5.5,8.9,62.1,1,2.8,35.8,1.2,2.5,47,1.6,3.8,42,2,5,40.1,1.9,6.4,30.3
Jaylen Brown,BOS,21,11.1,18.4,60.2,1.9,5.4,35.2,1.8,4.9,36,2.3,6.2,36.6,3.1,7.9,38.7,3.5,11.3,31
Jaylen Morris,ATL,22,4.7,8,58.3,0.8,3.3,25,1.3,2.5,53.3,2,5,40,2.8,6.8,41.5,2.2,5.8,37.1
Jayson Tatum,BOS,20,11.2,18.6,60.2,1.8,5.2,35.1,1.6,4.6,33.8,2.4,6.3,38,3,7.5,39.6,3.5,11.4,30.4
Jeff Green,CLE,31,9,14.6,61.7,1.5,3.7,41.5,1.6,3.8,42.7,1.7,4.1,40.4,2.5,6.4,39,3.3,10.1,32.2
Jeff Teague,MIN,30,12.7,19.5,65.3,2,5.4,36.5,1.8,4.5,39.9,2.2,5.4,40.8,4.6,11.7,38.9,4.3,11.6,36.9
Jeff Withey,DAL,28,0.9,1.8,50,0.1,0.4,33.3,0.3,0.6,60,0.3,1,33.3,0.7,1.2,54.5,0.6,2.1,26.3
Jerami Grant,OKC,24,7.3,12.8,57,1.2,3.5,33.7,1.2,2.8,40.9,1.1,2.5,43.1,2.6,7,36.4,2.4,6.1,39.4
Jeremy Evans,ATL,30,2,3,66.7,1,1,100,0,0,0,0,1,0,1,1,100,1,4,25
Jeremy Lamb,CHA,26,8.5,13.3,64.2,1.6,4.2,38.6,1.9,4.2,46.4,1.9,4.8,38.9,2.8,7.1,39.7,3.7,10.1,36.5
Jeremy Lin,BKN,29,16,21,76.2,2,3,66.7,0,2,0,6,8,75,2,6,33.3,3,14,21.4
Jerian Grant,CHI,25,8.7,13.8,63.1,1.2,3.2,37.7,1.2,3.1,40.3,1.4,3.5,40.9,3.1,8,38,3.4,9,38.1
Jerryd Bayless,PHI,29,8.1,13.6,59.4,1.6,4.2,39.5,1.9,4.5,43.4,2,4.1,50,2.5,6.2,40.9,2.9,9.6,30.3
Jimmy Butler,MIN,28,14,21.8,64.1,2.2,5.9,37.5,2.1,5.2,39.8,2,5.3,38.3,4.7,12.8,36.7,4.2,11.6,35.7
Joakim Noah,NYK,33,1.4,2,71.4,0.9,2.1,40,0.4,1.4,30,1,1.5,66.7,0.3,1.2,28.6,0.6,2.1,26.7
Jodie Meeks,WAS,30,5.5,8.5,65.4,1,2.5,40.1,0.8,1.9,44.4,1.1,2.5,42.4,1.4,3.7,38.2,2.2,6,36.7
Joe Harris,BKN,26,8.8,14.6,59.9,2.2,5.3,41.1,2.2,5,44,2.4,5.7,41.3,3,7.6,40.2,2.7,7.7,34.9
Joe Ingles,UTA,30,10.6,17.3,61.2,2.3,6,37.9,2.2,5.9,36.8,2.6,6.3,40.4,3.5,8.9,39.5,3.4,9.6,35.9
Joe Johnson,HOU,37,8.5,14.1,60.1,1.4,3.8,36.2,1.3,2.9,42.9,1.2,3.2,37.4,2.5,6.7,37.2,2.7,7.5,36.2
Joe Young,IND,26,4.2,6.3,67.1,0.9,1.9,46.7,0.8,1.7,43.7,0.8,2.2,36.6,1,2.7,37.7,1.1,4,27.8
Joel Bolomboy,MIL,24,2.5,4.3,58.8,1,2,50,0.5,1.2,42.9,0.5,1,50,1,1.6,62.5,0.6,2.6,23.1
Joel Embiid,PHI,24,9.1,16.4,55.3,2,5.4,36.9,2.4,5.7,41.9,3,7.6,38.8,2.7,6.9,39.6,4,12.8,31.3
Joffrey Lauvergne,SAS,26,4.2,6.4,65.3,0.9,2,43.9,0.6,1.8,33.3,0.7,1.7,39,1.2,2.7,43.1,1.1,3.6,31.5
John Collins,ATL,20,8.2,13.7,59.9,1.4,3.5,38.5,1.9,4.1,45.4,2.2,4.9,44.8,3.2,8.1,40.1,3.2,8.7,36.2
John Henson,MIL,27,10.6,17.4,60.6,1.3,3.6,36.6,1.6,3.9,40.7,1.6,4.3,37.9,2.2,5.8,37.9,3.5,10,35
John Holland,CLE,29,3.7,6.2,60.2,0.8,1.7,46.2,0.8,1.3,57.1,0.6,1.3,45.8,1.2,2.4,47.9,1.3,4.1,32.1
John Wall,WAS,27,13.6,21.9,62.2,1.7,4.8,36,2.1,5.2,41,2.6,7,37.8,3,8.7,33.9,4.8,13.7,35.2
Johnathan Motley,DAL,23,6,8.6,69.5,0.9,2.8,32.1,0.9,1.6,55.6,1.5,3.5,41,1.6,4.8,34,1.7,5.8,29.7
Johnny O'Bryant III,CHA,25,4.2,6.7,62.6,0.8,1.9,43.3,0.8,1.6,48.1,0.9,2.1,42.5,0.9,2.8,33.3,1.2,3.7,32.5
Jon Leuer,DET,29,6.3,9.9,63.3,1.8,4,43.8,1,2.4,42.1,0.6,2.4,26.3,1.3,4.3,29.4,1.6,6.3,26
Jonas Jerebko,UTA,31,5,8.2,60.5,1.4,3.2,42.6,1.2,2.7,43.7,1.1,3,35.9,1.8,4.2,41.7,1.6,4.8,33
Jonas Valanciunas,TOR,26,8,13.6,59.1,1.6,4.7,34.5,2,4.9,41,2.1,4.9,42.9,1.9,5.3,35.8,3,7.6,39.2
Jonathan Gibson,BOS,30,5.5,7.3,75.9,0.5,2.8,18.2,0,0.5,0,0.3,0.8,33.3,1.8,3,58.3,1.5,5,30
Jonathan Isaac,ORL,20,7.3,12.1,60.1,1.4,3.8,35.9,1.4,3.4,39.8,1.2,3.5,34.7,2.1,6,35.8,2.5,7.3,34.2
Jonathon Simmons,ORL,28,12.4,19.4,64,2,5.5,36.1,2.2,4.7,46.3,2.3,5.6,41,3.4,8.4,40.4,3.6,10.1,35.5
Jordan Bell,GSW,23,5.4,9.5,56.8,0.9,2.9,31.8,0.9,2.3,38.7,1,2.7,37.7,1.5,4,36.6,2,5.6,35.6
Jordan Clarkson,CLE,26,9.3,15.3,60.7,1.4,3.8,37,1.5,3.5,42.6,1.5,3.9,38.5,2.2,6.2,36,3.4,9.4,35.6
