PLAYER,TEAM,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Otto Porter Jr.,WAS,77,42,35,31.6,2.6,0.7,1.4,49.5,0.3,0.3,91.7,1.8,68.7,0.6,21.7,0.2,8.1,0.1,4,0.2,6.1
PJ Dozier,OKC,2,1,1,1.6,0.5,0.5,0.5,100,0,0,0,1,200,0,0,0,0,0,0,0,0
PJ Tucker,HOU,82,65,17,27.8,1.1,0.1,0.3,25,0.1,0.2,78.6,0.3,26.9,0.5,39.8,0.1,10.8,0.1,8.6,0.1,7.5
Pascal Siakam,TOR,81,59,22,20.7,3.1,0.8,1.5,51.3,0.1,0.1,90,1.7,54.2,0.9,30,0.3,9.9,0.3,8.7,0.1,2
Pat Connaughton,POR,82,49,33,18.1,2.1,0.4,0.9,44.7,0.1,0.1,100,1,46.9,0.7,34.9,0.2,9.7,0.1,6.9,0.1,3.4
Patrick Beverley,LAC,11,5,6,30.3,11.3,1.6,4,40.9,0.2,0.2,100,3.5,30.6,5.3,46.8,1.2,10.5,0.6,5.6,0.1,0.8
Patrick McCaw,GSW,57,41,16,16.9,2,0.3,0.9,36,0.2,0.2,83.3,0.8,40.4,0.6,30.7,0.2,8.8,0.1,4.4,0.1,5.3
Patrick Patterson,OKC,80,48,32,15.3,0.9,0.1,0.4,22.9,0.2,0.3,90,0.4,45.3,0.3,28,0,4,0.1,6.7,0.1,13.3
Patty Mills,SAS,82,47,35,25.7,4.4,0.4,1,44.9,0.1,0.1,83.3,0.9,20.8,2.5,57.5,0.5,11.7,0.2,5,0,0.8
Pau Gasol,SAS,77,45,32,23.5,1.6,0.4,0.8,47.5,0.3,0.3,88.5,1,63.7,0.4,25.8,0.1,4.8,0.1,4,0.2,11.3
Paul George,OKC,78,47,31,36.6,8.9,1.6,3.5,45.4,1.4,1.7,83.1,4.8,53.5,2.6,29.4,0.8,8.6,0.8,8.8,0.9,9.6
Paul Millsap,DEN,38,22,16,30.1,5.6,1.2,2.8,43.5,0.5,0.8,59.4,3,53.6,1.2,22.3,0.4,7.1,0.3,6.2,0.4,7.6
Paul Zipser,CHI,54,17,37,15.3,2.4,0.3,0.9,39.1,0.1,0.2,58.3,0.8,33.6,1,40.6,0.3,10.9,0.1,3.9,0.1,4.7
Quincy Acy,BKN,68,25,43,19.5,1.2,0.1,0.3,17.4,0.2,0.2,78.6,0.3,23.8,0.4,30,0.1,11.3,0.2,16.3,0.1,8.8
Quincy Pondexter,CHI,23,6,17,8.5,0.9,0.2,0.5,36.4,0,0,0,0.3,40,0.2,25,0,5,0.1,15,0,0
Quinn Cook,GSW,33,21,12,22.4,4.5,0.7,1.5,47.1,0,0,0,1.5,32.7,1.6,36.1,0.7,15.6,0.4,8.8,0,0
RJ Hunter,HOU,5,3,2,9,1,0.2,0.6,33.3,0,0,0,0.6,60,0.4,40,0,0,0,0,0,0
Rajon Rondo,NOP,65,41,24,26.2,7.9,1.5,2.8,54.4,0.2,0.3,60,3.2,40.8,2.9,36.5,1.3,16.1,0.4,5.4,0.2,1.9
Ramon Sessions,WAS,28,10,18,14,4.9,0.7,2.1,32.8,0.7,0.9,83.3,2.1,42.8,1.2,24.6,0.6,12.3,0.3,5.8,0.5,9.4
Rashad Vaughn,ORL,28,13,15,7.6,0.6,0.1,0.3,50,0.1,0.1,100,0.4,58.8,0.2,35.3,0,0,0.1,11.8,0,5.9
Raul Neto,UTA,41,28,13,12.2,5.5,0.8,1.7,47.1,0.2,0.3,66.7,1.8,32.9,2.3,41.3,0.8,14.2,0.4,7.1,0.1,2.7
Raymond Felton,OKC,80,48,32,16.7,4.4,0.9,2,45.3,0.2,0.3,80,2,45.9,1.4,32.4,0.5,11.3,0.3,5.9,0.1,2.8
Reggie Bullock,DET,62,32,30,27.9,2.3,0.6,1.2,45.5,0.2,0.2,80,1.4,58.7,0.5,21.7,0.2,7.7,0.2,9.8,0.1,4.9
Reggie Hearn,DET,3,3,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reggie Jackson,DET,45,27,18,26.7,12.4,2.8,5.8,47.1,0.9,1.2,77.8,6.6,53.5,3.7,29.9,1.2,9.5,0.7,5.4,0.7,5.4
Richard Jefferson,DEN,20,10,10,8.2,1.2,0.3,0.4,62.5,0.1,0.2,50,0.6,52.2,0.3,26.1,0.2,17.4,0.2,13,0.1,8.7
Richaun Holmes,PHI,47,30,17,15.5,0.9,0.3,0.5,52,0.2,0.3,66.7,0.7,79.5,0.1,11.4,0,2.3,0.1,9.1,0.1,13.6
Ricky Rubio,UTA,77,44,33,29.3,11.2,1.5,3.5,43.6,0.7,0.9,85.1,3.8,34.1,4.5,39.9,1.6,14.3,0.8,7.2,0.4,3.9
Robert Covington,PHI,79,51,28,31.7,2.1,0.4,0.9,45.3,0.3,0.3,76.9,1.1,54.9,0.5,23.8,0.1,6.7,0.3,12.8,0.2,8.5
Robin Lopez,CHI,64,23,41,26.4,1.2,0.3,0.7,45.5,0,0,50,0.7,56,0.2,17.3,0.1,6.7,0.2,14.7,0,2.7
Rodney Hood,CLE,60,29,31,26.9,6,1.6,3.4,46.8,0.5,0.6,83.3,3.7,62.2,1.4,23.6,0.5,7.5,0.3,5.6,0.3,5
Rodney McGruder,MIA,18,11,7,16.6,1.4,0.3,0.8,42.9,0,0,0,0.7,46.2,0.6,38.5,0.1,3.8,0,0,0,0
Rodney Purvis,ORL,16,5,11,18.1,2.6,0.2,0.8,23.1,0,0,0,0.4,14.6,1.2,46.3,0.3,9.8,0.2,7.3,0,0
Ron Baker,NYK,28,11,17,13.1,1.3,0,0.3,12.5,0.2,0.2,83.3,0.3,20,0.4,34.3,0.3,22.9,0.1,5.7,0.1,8.6
Rondae Hollis-Jefferson,BKN,66,25,41,28,5.3,1,2.5,42.3,0.8,1,85.9,3.1,58.5,1.4,26.6,0.4,8,0.3,6,0.5,9.2
Royce O'Neale,UTA,69,43,26,16.7,4,0.5,1.3,37.5,0.3,0.4,69.2,1.2,31.5,1.7,42.5,0.5,11.7,0.3,7.7,0.2,4.8
Rudy Gay,SAS,57,36,21,21.6,4.6,1.1,2.4,43.2,0.7,0.8,83.3,2.9,64.6,1,21.2,0.2,4.6,0.3,7.3,0.4,9.2
Rudy Gobert,UTA,56,37,19,32.4,1,0.1,0.4,34.8,0.3,0.4,72.7,0.6,57.9,0.2,17.5,0,1.8,0.1,14,0.2,19.3
Russell Westbrook,OKC,78,47,31,36.4,19.2,3.1,6.2,49.6,1.7,2.2,77.2,8.1,42.2,7,36.2,2.8,14.8,1.5,7.9,1.1,5.7
Ryan Anderson,HOU,66,52,14,26.1,1.4,0.2,0.5,43.8,0.3,0.4,75,0.7,53.3,0.5,33.3,0.2,12.2,0.1,4.4,0.2,13.3
Ryan Arcidiacono,CHI,24,6,18,12.7,1,0.1,0.2,60,0,0.1,50,0.3,29.2,0.4,37.5,0.3,25,0,4.2,0,4.2
Salah Mejri,DAL,61,21,40,11.9,0,0,0,0,0,0,50,0,33.3,0,0,0,0,0,0,0,33.3
Sam Dekker,LAC,73,36,37,12.1,1.6,0.3,0.8,43.1,0.1,0.2,64.3,0.8,53.5,0.4,23.7,0.1,6.1,0.2,10.5,0.1,7
Scotty Hopson,DAL,1,0,1,8.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sean Kilpatrick,CHI,52,22,30,12.3,2.5,0.4,1.2,37.1,0.3,0.3,88.9,1.3,49.6,0.7,28.2,0.1,3.8,0.2,6.1,0.2,6.9
Semi Ojeleye,BOS,70,47,23,16.2,0.7,0.1,0.3,36.4,0,0,0,0.2,31.4,0.3,37.3,0,0,0.1,13.7,0,2
Serge Ibaka,TOR,76,53,23,27.5,3.3,0.9,1.6,52,0.3,0.4,76.5,2.1,64.5,0.8,25,0.2,6.5,0.3,8.5,0.2,6.9
Shabazz Muhammad,MIL,43,25,18,9.7,1.4,0.4,1,42.9,0.1,0.2,62.5,1,68.3,0.3,18.3,0,3.3,0,0,0.1,6.7
Shabazz Napier,POR,74,46,28,20.8,4.5,0.5,1.4,35.8,0.6,0.7,85.2,1.7,37.3,1.6,34.8,0.5,11.2,0.4,10,0.4,8.2
Shane Larkin,BOS,51,36,15,14.6,3.1,0.5,1.2,42.6,0.4,0.5,87.5,1.4,46.5,0.9,28.7,0.5,14.6,0.1,3.8,0.2,7.6
Shaquille Harrison,PHX,23,3,20,16.7,6.1,1,2.1,45.8,0.4,0.4,100,2.4,39.3,2.3,38.6,0.8,12.9,0.3,5.7,0.2,3.6
Shaun Livingston,GSW,71,49,22,15.9,1.2,0.2,0.7,33.3,0.2,0.2,85.7,0.6,51.1,0.2,19.3,0.1,10.2,0.1,5.7,0.1,8
Shelvin Mack,ORL,69,21,48,19.8,8.2,1.2,2.6,44.7,0.4,0.6,75,2.8,34.6,3.6,43.6,1.1,13.3,0.4,4.8,0.3,3.5
Sindarius Thornwell,LAC,73,36,37,15.8,2.2,0.4,1.1,35.1,0.3,0.4,75,1.1,49.7,0.6,26.1,0.1,5,0.2,7.5,0.2,9.9
Skal Labissiere,SAC,60,19,41,20.7,1.2,0.4,0.8,49,0.2,0.2,90,1,83.1,0.1,7,0,1.4,0.1,7,0.1,7
Solomon Hill,NOP,12,8,4,15.6,1.8,0.1,0.5,16.7,0,0,0,0.2,9.5,0.3,19,0.5,28.6,0.1,4.8,0,0
Spencer Dinwiddie,BKN,78,27,51,28.9,12,1.8,3.9,45.1,1.2,1.5,82.2,5,41.3,4.8,39.6,1.7,14.1,0.5,4.3,0.8,6.3
Stanley Johnson,DET,69,33,36,27.4,4.1,0.6,1.8,33.1,0.5,0.7,69.6,1.7,40.4,1.3,30.5,0.3,8.1,0.3,7.7,0.3,8.1
Stephen Curry,GSW,51,41,10,32,7.6,1.5,2.6,56.7,1.2,1.3,86.8,4.3,55.6,2.9,38.2,0.9,11.3,0.4,5.4,0.7,9
Sterling Brown,MIL,54,26,28,14.4,1.7,0.3,0.9,32,0.2,0.2,90,0.8,44.7,0.5,26.6,0.1,7.4,0.1,5.3,0.1,5.3
Steven Adams,OKC,75,43,32,32.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T.J. McConnell,PHI,75,50,25,22.4,7.3,1.3,2.7,47.8,0.1,0.1,90,2.7,37.5,3,41.3,0.9,11.8,0.5,6.5,0.1,1.1
TJ Leaf,IND,53,31,22,8.7,0.8,0.2,0.5,50,0.1,0.1,66.7,0.6,73.8,0.1,16.7,0,4.8,0,2.4,0.1,7.1
TJ Warren,PHX,65,18,47,33,4.9,1.4,3.3,41.8,0.7,1,71.6,3.6,72.8,0.7,13.4,0.1,2.2,0.2,5,0.5,10.9
Taj Gibson,MIN,82,47,35,33.2,0.8,0.3,0.5,65.1,0.2,0.2,81.3,0.9,109.1,0.1,9.1,0,4.5,0,6.1,0.1,12.1
Tarik Black,HOU,51,40,11,10.5,0.2,0,0.1,14.3,0,0,50,0.1,25,0,16.7,0,8.3,0,0,0,8.3
Taurean Prince,ATL,81,24,57,30,8,1.5,3.6,41.5,0.7,0.8,85.3,3.8,47.1,2.2,26.9,0.8,9.8,0.8,9.8,0.4,5.2
Terrance Ferguson,OKC,59,37,22,12.6,0.5,0.1,0.1,42.9,0,0,100,0.1,29.6,0.2,51.9,0,7.4,0.1,11.1,0,3.7
Terrence Ross,ORL,24,10,14,25,3.4,0.6,1.8,35.7,0.3,0.4,60,1.5,45.1,1,29.3,0.3,8.5,0.1,3.7,0.2,6.1
Terry Rozier,BOS,77,51,26,26,6.1,0.8,2.4,31.7,0.4,0.5,76.9,2,32.1,2.5,40.6,0.5,8.3,0.3,5.1,0.3,4.3
Thabo Sefolosha,UTA,38,16,22,21.2,3,0.6,1.2,45.7,0.3,0.4,81.3,1.5,49.1,0.9,30.7,0.2,7,0.3,10.5,0.2,7
Thaddeus Young,IND,81,48,33,32.2,2.5,0.7,1.5,43.8,0.1,0.1,62.5,1.4,54.9,0.5,19.6,0.2,9.8,0.1,5.9,0,2
Thomas Bryant,LAL,15,7,8,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thon Maker,MIL,73,40,33,16.8,0.3,0.1,0.1,44.4,0.1,0.1,62.5,0.2,70,0,10,0,5,0,10,0.1,20
Tim Frazier,WAS,59,31,28,14.2,2.7,0.4,0.7,51.2,0.2,0.2,83.3,0.9,33.5,1.2,44.9,0.4,16.5,0.2,7,0.1,3.8
Tim Hardaway Jr.,NYK,57,19,38,33.1,5.2,1.3,3,42.4,0.7,0.9,73.1,3.3,64.2,1.1,20.9,0.3,5.4,0.2,4.1,0.5,9.1
Tim Quarterman,HOU,3,2,1,4.3,1,0.3,0.3,100,0,0,0,0.7,66.7,0,0,0.3,33.3,0,0,0,0
Timofey Mozgov,BKN,29,11,18,11.9,0.4,0,0.1,50,0.1,0.1,100,0.2,54.5,0.1,36.4,0,9.1,0,0,0.1,18.2
Timothe Luwawu-Cabarrot,PHI,51,29,22,15.6,2.2,0.2,0.8,28.6,0.3,0.3,100,0.7,33.9,0.9,39.3,0.2,8,0.2,8,0.1,6.3
Tobias Harris,LAC,80,39,41,33.4,9,2.2,4.7,47.5,0.7,0.9,82.9,5.3,59.2,2.6,29.2,0.7,8.1,0.3,3.4,0.5,5
Tomas Satoransky,WAS,73,39,34,22.5,4.9,0.8,1.6,49.6,0.3,0.3,86.4,1.9,38.2,2.1,43.8,0.7,14.3,0.2,4.8,0.2,3.1
Tony Allen,NOP,22,12,10,12.4,1.1,0.3,0.8,41.2,0,0,0,0.6,58.3,0.2,16.7,0,4.2,0.1,8.3,0,0
Tony Bradley,UTA,9,6,3,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony Parker,SAS,55,32,23,19.5,9.4,1.7,3.2,52.2,0.3,0.5,68,3.8,40,3.9,41,1.3,13.5,0.6,6.6,0.2,2.5
Tony Snell,MIL,74,42,32,27.4,1.8,0.4,0.8,50,0.2,0.3,80,1.1,58.2,0.5,26.1,0.2,10.4,0.1,7.5,0.1,7.5
Torrey Craig,DEN,39,22,17,16.1,0.9,0.1,0.4,23.5,0.1,0.2,66.7,0.3,32.4,0.2,24.3,0.1,5.4,0.1,13.5,0.1,8.1
Travis Wear,LAL,17,7,10,13.4,0.4,0,0.1,0,0.1,0.1,100,0.1,33.3,0.1,16.7,0,0,0,0,0.1,16.7
Treveon Graham,CHA,63,28,35,16.7,1.8,0.3,0.8,43.1,0.3,0.3,72.7,1,53,0.6,32.2,0.2,9.6,0,1.7,0.2,9.6
Trevor Ariza,HOU,67,51,16,33.9,3.5,0.6,1.3,41.6,0.2,0.3,83.3,1.4,38.4,1.4,39.7,0.4,10.5,0.2,5.1,0.1,3.8
Trevor Booker,IND,67,36,31,17.1,1.3,0.3,0.8,41.8,0.1,0.1,66.7,0.8,60.2,0.2,15.9,0.1,9.1,0.1,6.8,0,3.4
Trey Burke,NYK,36,10,26,21.8,7.8,1.5,2.9,51.9,0.3,0.4,64.3,3.4,43.6,3.2,41.4,0.7,8.6,0.3,3.9,0.2,2.9
Trey Lyles,DEN,73,41,32,19.1,3.2,0.8,1.6,50.8,0.4,0.6,58.7,2.1,65.7,0.8,24,0.2,6.4,0.2,5.6,0.3,9.9
Trey McKinney-Jones,IND,1,1,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tristan Thompson,CLE,53,27,26,20.2,0.6,0.2,0.3,50,0.1,0.2,62.5,0.4,67.7,0.2,25.8,0,0,0.1,9.7,0.1,12.9
Troy Daniels,PHX,79,20,59,20.5,1,0.2,0.5,40.5,0,0.1,75,0.4,41.3,0.3,25,0.1,5,0.2,15,0,2.5
Troy Williams,NYK,21,7,14,14.6,1,0.3,0.5,54.5,0,0.1,50,0.6,65,0.1,15,0.1,15,0,5,0,5
Tyler Cavanaugh,ATL,38,11,27,13.3,0.5,0.1,0.2,50,0,0.1,50,0.2,36.8,0.2,47.4,0,5.3,0,5.3,0,5.3
Tyler Dorsey,ATL,56,15,41,17.4,3.6,0.6,1.6,39.1,0.2,0.2,91.7,1.4,40.7,1.3,35.7,0.3,8,0.2,6,0.1,3
Tyler Ennis,LAL,54,22,32,12.7,4.2,0.8,1.9,40.4,0.1,0.1,62.5,1.7,39.6,1.4,33.5,0.4,9.3,0.2,5.3,0.1,1.8
Tyler Johnson,MIA,71,38,33,28.5,5.5,1.1,2.4,47,0.4,0.6,77.5,2.8,50.6,2,35.5,0.5,9,0.3,5.6,0.3,5.4
Tyler Lydon,DEN,1,1,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Ulis,PHX,71,20,51,23.4,8.2,1.3,3.1,42.7,0.6,0.8,83.6,3.3,40.9,2.7,32.9,1.1,14,0.6,7.1,0.4,4.8
Tyler Zeller,MIL,64,26,38,16.7,0.3,0.1,0.1,66.7,0.1,0.2,70,0.3,95,0,10,0,10,0,5,0.1,25
Tyreke Evans,MEM,52,19,33,30.9,12.2,2.6,5.3,48.2,1.5,1.8,82.3,6.8,55.6,3.9,32.3,1.3,10.6,0.5,3.9,0.9,7.6
Tyrone Wallace,LAC,30,17,13,28.4,5.6,1.4,3,45.6,0.4,0.5,81.3,3.2,56.9,1.4,25.1,0.4,7.8,0.4,6.6,0.3,4.8
Tyson Chandler,PHX,46,15,31,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyus Jones,MIN,82,47,35,17.9,2.7,0.6,1.1,51.1,0.2,0.3,90.5,1.5,54.3,0.8,31.5,0.4,14.6,0.1,3.7,0.1,5
Udonis Haslem,MIA,14,9,5,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vander Blue,LAL,5,1,4,9,1.2,0.2,0.4,50,0,0,0,0.4,33.3,0.4,33.3,0.2,16.7,0.2,16.7,0,0
Victor Oladipo,IND,75,48,27,34,10.8,2.5,4.9,52.1,1.2,1.6,78,6.4,59.8,3.1,28.8,0.9,8.8,0.6,5.8,0.8,7.5
Vince Carter,SAC,58,20,38,17.7,1.3,0.3,0.6,51.4,0.1,0.2,60,0.7,57.3,0.2,18.7,0.2,14.7,0.1,4,0.1,8
Vincent Hunter,MEM,4,0,4,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wade Baldwin IV,POR,7,4,3,11.5,2.3,1,1.7,58.3,0.1,0.3,50,2.1,93.8,0.3,12.5,0,0,0,0,0.1,6.3
Walter Lemon Jr.,NOP,5,4,1,7,2.4,0.4,1.6,25,0,0,0,0.8,33.3,0.4,16.7,0,0,0,0,0,0
Wayne Ellington,MIA,76,41,35,26.6,1,0.2,0.4,42.9,0,0,100,0.4,36.5,0.4,44.6,0.1,10.8,0,2.7,0,1.4
Wayne Selden,MEM,35,10,25,19.8,5,0.7,2,36.6,0.3,0.4,64.3,1.8,36.2,1.5,29.9,0.6,11.5,0.5,9.2,0.2,4
Wes Iwundu,ORL,62,18,44,16.5,1.6,0.4,0.9,46.3,0.1,0.1,75,0.9,57.4,0.5,29.7,0.1,5.9,0.1,5.9,0.1,4
Wesley Johnson,LAC,74,38,36,20.1,0.7,0.2,0.3,57.1,0.2,0.2,85.7,0.5,65.5,0.2,21.8,0.1,10.9,0.1,10.9,0.1,12.7
Wesley Matthews,DAL,63,20,43,33.8,4.6,0.8,1.9,41.7,0.3,0.4,91.7,2,42.7,1.3,28.8,0.6,12.2,0.4,9,0.2,4.5
Will Barton,DEN,81,46,35,33.1,8.7,1.7,3.9,43.7,0.5,0.7,75.9,4.1,47.3,2.9,33.3,0.7,8.5,0.6,6.4,0.4,4.1
Willie Cauley-Stein,SAC,73,23,50,28,3.2,0.7,1.8,37.9,0.5,0.7,65.4,1.9,58.1,0.5,16.1,0.1,3.8,0.2,6.8,0.4,11
Willie Reed,DET,42,20,22,10.2,0.2,0,0.1,40,0.1,0.1,75,0.2,77.8,0,11.1,0,0,0,11.1,0,22.2
Willy Hernangomez,CHA,48,20,28,10.3,0.3,0.1,0.1,50,0,0.1,50,0.2,61.5,0,7.7,0,0,0,15.4,0,15.4
Wilson Chandler,DEN,74,41,33,31.7,4,0.8,1.7,47.7,0.4,0.6,75.6,2.1,53.1,1.2,30.3,0.4,9.5,0.3,7.8,0.3,7.1
Xavier Munford,MIL,6,2,4,3.5,0.5,0.2,0.2,100,0.2,0.3,50,0.5,100,0.2,33.3,0,0,0,0,0.2,33.3
Xavier Rathan-Mayes,MEM,5,0,5,23.6,7,1,2.4,41.7,0.2,0.4,50,2.2,31.4,2.6,37.1,0.8,11.4,0.6,8.6,0.4,5.7
Xavier Silas,BOS,2,1,1,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yogi Ferrell,DAL,82,24,58,27.8,5,0.9,2,44,0.4,0.5,89.5,2.2,44.6,1.8,36.1,0.6,11.1,0.3,5.1,0.2,4.6
Zach Collins,POR,66,41,25,15.8,0.8,0.2,0.5,43.3,0,0,100,0.4,56,0.2,22,0,4,0,6,0,2
Zach LaVine,CHI,24,9,15,27.3,8.7,2,4.5,43.1,1.1,1.7,67.5,5.3,60.3,2.5,28.7,0.4,4.8,0.3,3.3,0.8,9.6
Zach Randolph,SAC,59,18,41,25.6,2.6,0.8,1.6,50.5,0.3,0.3,88.9,2,76.1,0.5,18.7,0.1,4.5,0.2,7.7,0.2,5.8
Zaza Pachulia,GSW,69,47,22,14.1,0.4,0,0.2,21.4,0.1,0.1,90,0.2,51.7,0.1,24.1,0,6.9,0,3.4,0.1,17.2
Zhou Qi,HOU,18,14,4,6.9,0.6,0.1,0.2,33.3,0.1,0.1,100,0.2,36.4,0.3,45.5,0,0,0.1,18.2,0.1,9.1