PLAYER,TEAM,GP,W,L,MIN,DIST FEET,DIST MILES,DIST MILES OFF,DIST MILES DEF,AVG SPEED,AVG SPEED OFF,AVG SPEED DEF
Gorgui Dieng,MIN,79,45,34,16.9,6322.6,1.2,0.65,0.55,4.27,4.44,4.09
Greg Monroe,BOS,50,21,29,20.5,7205.6,1.36,0.72,0.65,4.01,4.11,3.91
Guerschon Yabusele,BOS,32,23,9,7.3,2844.7,0.54,0.3,0.24,4.41,4.71,4.13
Harrison Barnes,DAL,77,24,53,34.2,13179.6,2.5,1.39,1.11,4.39,4.71,4.05
Hassan Whiteside,MIA,54,30,24,25.3,8862.3,1.68,0.89,0.79,4,4.07,3.92
Henry Ellenson,DET,38,21,17,8.7,3660.3,0.69,0.39,0.31,4.85,5.55,4.22
Ian Clark,NOP,74,43,31,19.6,7556.4,1.43,0.75,0.68,4.43,4.83,4.06
Ian Mahinmi,WAS,77,42,35,14.9,5557.5,1.05,0.55,0.5,4.26,4.44,4.07
Ike Anigbogu,IND,11,5,6,2.7,971,0.18,0.11,0.08,4.03,4.49,3.93
Iman Shumpert,SAC,14,9,5,19.7,7847.4,1.49,0.76,0.73,4.54,4.68,4.41
Isaiah Canaan,PHX,20,9,11,21.1,8031.5,1.52,0.81,0.71,4.34,4.58,4.12
Isaiah Hicks,NYK,18,4,14,13.3,5198.2,0.98,0.52,0.47,4.45,4.72,4.18
Isaiah Taylor,ATL,67,18,49,17.4,6876.4,1.3,0.72,0.59,4.51,4.94,4.06
Isaiah Thomas,LAL,32,15,17,26.9,9703.8,1.84,1,0.84,4.25,4.67,3.84
Isaiah Whitehead,BKN,15,2,13,10.8,4143.8,0.78,0.43,0.36,4.36,4.78,3.88
Ish Smith,DET,82,39,43,24.9,10624.8,2.01,1.14,0.87,4.88,5.56,4.21
Ivan Rabb,MEM,36,6,30,14.3,5464.8,1.03,0.55,0.48,4.36,4.56,4.14
Ivica Zubac,LAL,43,19,24,9.5,3584.7,0.68,0.36,0.32,4.38,4.9,3.92
J.J. Barea,DAL,69,23,46,23.2,8822,1.67,0.96,0.71,4.32,4.78,3.82
JJ Redick,PHI,69,45,24,30.2,12218.4,2.31,1.26,1.06,4.61,5.17,4.09
JR Smith,CLE,80,49,31,28.1,10144.3,1.92,1,0.92,4.12,4.26,3.98
JaKarr Sampson,SAC,22,6,16,15.7,6068.6,1.15,0.62,0.53,4.43,4.71,4.14
JaMychal Green,MEM,55,11,44,28,10440.6,1.98,1.05,0.93,4.27,4.43,4.1
JaVale McGee,GSW,65,45,20,9.5,3530.9,0.67,0.34,0.33,4.31,4.57,4.05
Jabari Bird,BOS,13,8,5,8.8,3375.9,0.64,0.34,0.3,4.4,4.53,4.26
Jabari Parker,MIL,31,16,15,24,9189.3,1.74,0.91,0.83,4.42,4.75,4.08
Jack Cooley,SAC,7,4,3,12.5,4228.9,0.8,0.42,0.38,4.06,4.07,4.04
Jacob Pullen,PHI,3,2,1,2,737.7,0.14,0.07,0.07,3.95,4.27,3.67
Jacob Wiley,BKN,4,1,3,8.1,3249.5,0.62,0.34,0.28,4.67,4.98,4.01
Jae Crowder,UTA,80,52,28,26.1,9595.9,1.82,0.95,0.87,4.22,4.42,4.01
Jahlil Okafor,BKN,28,7,21,12.6,4673,0.89,0.49,0.39,4.23,4.51,3.93
Jake Layman,POR,35,22,13,4.6,1831.8,0.35,0.2,0.15,4.57,5,4.16
Jakob Poeltl,TOR,82,59,23,18.6,7587.6,1.44,0.75,0.68,4.68,4.99,4.38
Jalen Jones,DAL,16,3,13,11.3,4452.1,0.84,0.44,0.4,4.48,4.8,4.17
Jamal Crawford,MIN,80,45,35,20.7,7306.9,1.38,0.75,0.63,4.03,4.22,3.83
Jamal Murray,DEN,81,46,35,31.7,12617.9,2.39,1.33,1.06,4.6,5.14,4.07
Jameel Warney,DAL,3,1,2,8.9,3335.3,0.63,0.33,0.3,4.28,4.36,4.19
Jameer Nelson,DET,50,25,25,20.3,7406.9,1.4,0.76,0.64,4.17,4.57,3.77
Jamel Artis,ORL,15,4,11,18.6,7038.3,1.33,0.72,0.61,4.47,4.85,4.08
James Ennis III,DET,72,25,47,22.3,8639.4,1.64,0.87,0.76,4.42,4.65,4.19
James Harden,HOU,72,59,13,35.4,11474.6,2.17,1.17,1,3.69,3.97,3.41
James Johnson,MIA,72,36,36,26.6,9938.3,1.88,1.01,0.87,4.26,4.53,3.99
James Michael McAdoo,PHI,3,1,2,6,2533.7,0.48,0.26,0.22,4.69,5.36,4.02
James Webb III,BKN,10,1,9,12,4833.9,0.92,0.51,0.41,4.62,5.24,4.02
James Young,PHI,6,4,2,10.2,3701.5,0.7,0.36,0.34,4.14,4.34,3.94
Jamil Wilson,LAC,15,6,9,18.3,6756.3,1.28,0.68,0.6,4.22,4.74,3.72
Jared Dudley,PHX,48,7,41,14.3,5246.1,0.99,0.54,0.46,4.18,4.75,3.67
Jarell Eddie,CHI,3,1,2,2.9,1071.3,0.2,0.11,0.09,4.2,4.08,4.32
Jarell Martin,MEM,73,21,52,22.8,9058.4,1.72,0.93,0.78,4.56,4.87,4.25
Jarrett Allen,BKN,70,24,46,20,7830.7,1.48,0.83,0.65,4.46,4.88,4.01
Jarrett Jack,NYK,61,25,36,24.8,9335.4,1.77,0.97,0.8,4.29,4.66,3.91
Jason Smith,WAS,33,15,18,8.6,3349.3,0.63,0.34,0.3,4.52,4.84,4.2
Jason Terry,MIL,51,27,24,15.9,6015.5,1.14,0.58,0.56,4.34,4.53,4.17
Jawun Evans,LAC,48,24,24,16.2,6708,1.27,0.64,0.63,4.72,4.98,4.49
Jaylen Brown,BOS,67,44,23,30.6,11777.7,2.23,1.16,1.07,4.39,4.55,4.22
Jaylen Morris,ATL,6,2,4,16.4,5926.5,1.12,0.59,0.53,4.33,4.45,4.21
Jayson Tatum,BOS,77,50,27,30.7,11245.5,2.13,1.14,0.99,4.18,4.47,3.89
Jeff Green,CLE,78,47,31,23.4,8254.7,1.56,0.8,0.76,4.02,4.18,3.87
Jeff Teague,MIN,70,41,29,33,11185.6,2.12,1.14,0.98,3.86,4.02,3.69
Jeff Withey,DAL,10,2,8,3.9,1432.5,0.27,0.14,0.13,4.11,4.51,3.75
Jerami Grant,OKC,80,48,32,20.3,7802,1.48,0.78,0.7,4.37,4.71,4.06
Jeremy Evans,ATL,1,0,1,5.3,2087,0.4,0.22,0.17,4.5,4.51,4.48
Jeremy Lamb,CHA,80,36,44,24.6,9529.9,1.8,0.98,0.83,4.42,4.73,4.1
Jeremy Lin,BKN,1,0,1,25.2,10502,1.99,1.07,0.92,4.8,5.02,4.54
Jerian Grant,CHI,74,24,50,22.8,8691.9,1.65,0.87,0.78,4.35,4.7,4.01
Jerryd Bayless,PHI,38,21,17,23.9,9001.3,1.7,0.9,0.8,4.3,4.57,4.03
Jimmy Butler,MIN,59,37,22,36.7,13699.7,2.59,1.4,1.2,4.26,4.4,4.1
Joakim Noah,NYK,7,1,6,5.7,2291.6,0.43,0.23,0.2,4.5,4.87,4.14
Jodie Meeks,WAS,77,41,36,14.5,5543.5,1.05,0.56,0.49,4.42,4.71,4.12
Joe Harris,BKN,77,26,51,25.3,10047.6,1.9,1.06,0.84,4.54,4.95,4.1
Joe Ingles,UTA,82,48,34,31.4,11897.8,2.25,1.24,1.02,4.33,4.61,4.04
Joe Johnson,HOU,55,35,20,21.9,7814.7,1.48,0.82,0.66,4.08,4.36,3.77
Joe Young,IND,53,28,25,10.5,4388.3,0.83,0.43,0.41,4.77,4.77,4.77
Joel Bolomboy,MIL,6,3,3,6.3,2363.5,0.45,0.25,0.19,4.31,4.26,4.37
Joel Embiid,PHI,62,41,21,30.4,10754.2,2.04,1.08,0.96,4.04,4.38,3.72
Joffrey Lauvergne,SAS,55,30,25,9.7,3607,0.68,0.37,0.32,4.25,4.53,3.94
John Collins,ATL,73,21,52,24.1,9472.7,1.79,0.97,0.82,4.48,4.85,4.11
John Henson,MIL,75,39,36,26,9331.7,1.77,0.89,0.88,4.11,4.31,3.92
John Holland,CLE,24,17,7,7.3,2634.8,0.5,0.27,0.23,4.14,4.3,3.96
John Wall,WAS,41,23,18,34.4,11198.3,2.12,1.09,1.03,3.71,3.83,3.59
Johnathan Motley,DAL,11,1,10,16,5708.2,1.08,0.58,0.5,4.07,4.39,3.75
Johnny O'Bryant III,CHA,36,15,21,10.5,4081.9,0.77,0.43,0.35,4.42,4.7,4.15
Jon Leuer,DET,8,5,3,17.1,7201.1,1.36,0.76,0.6,4.78,5.24,4.3
Jonas Jerebko,UTA,74,45,29,15.3,5971.3,1.13,0.62,0.51,4.47,4.81,4.11
Jonas Valanciunas,TOR,77,56,21,22.4,8412.3,1.59,0.86,0.74,4.28,4.55,4
Jonathan Gibson,BOS,4,2,2,10,3869.5,0.73,0.38,0.35,4.37,4.59,4.17
Jonathan Isaac,ORL,27,11,16,19.8,7541.5,1.43,0.77,0.66,4.39,4.71,4.08
Jonathon Simmons,ORL,69,21,48,29.4,11243,2.13,1.12,1.01,4.38,4.65,4.11
Jordan Bell,GSW,57,43,14,14.2,5501.1,1.04,0.54,0.5,4.41,4.65,4.16
Jordan Clarkson,CLE,81,40,41,23.3,9130.5,1.73,0.93,0.8,4.47,4.89,4.07
Jordan Crawford,NOP,5,3,2,10.7,4129,0.78,0.43,0.35,4.33,4.8,3.85
Jordan Mickey,MIA,23,15,8,12.3,4764.7,0.9,0.49,0.41,4.41,4.64,4.16
Jose Calderon,CLE,57,33,24,16,6207.3,1.18,0.62,0.55,4.42,4.65,4.21
Josh Gray,PHX,5,0,5,17.3,7341,1.39,0.77,0.62,4.88,5.25,4.48
Josh Hart,LAL,63,27,36,23.2,8939.9,1.69,0.87,0.83,4.4,4.71,4.11
Josh Huestis,OKC,68,43,25,14.2,5484.5,1.04,0.52,0.52,4.39,4.47,4.32
Josh Jackson,PHX,77,19,58,25.4,10022.3,1.9,1.02,0.88,4.5,4.93,4.1
Josh Magette,ATL,18,3,15,12,4616.9,0.87,0.49,0.39,4.51,5.04,4.04
Josh McRoberts,DAL,2,2,0,2.9,1064,0.2,0.12,0.09,4.17,3.8,4.61
Josh Richardson,MIA,80,43,37,33.2,12911.8,2.45,1.33,1.12,4.43,4.72,4.12
Josh Smith,NOP,3,2,1,3.9,1423.7,0.27,0.14,0.13,4.06,4.36,3.8
Jrue Holiday,NOP,81,47,34,36.1,13940.4,2.64,1.4,1.24,4.4,4.91,3.93
Juancho Hernangomez,DEN,25,15,10,11.1,4003.8,0.76,0.4,0.36,4.43,4.65,4.17
Julius Randle,LAL,82,35,47,26.7,9535.1,1.81,0.96,0.85,4.13,4.54,3.75
Julyan Stone,CHA,23,10,13,7.6,2771.7,0.52,0.27,0.25,4.17,4.44,3.91
Justin Anderson,PHI,37,27,10,13.9,5262.2,1,0.54,0.46,4.31,4.64,3.98
Justin Holiday,CHI,72,24,48,31.5,12438.6,2.36,1.26,1.09,4.5,4.93,4.1
Justin Jackson,SAC,68,21,47,22.1,8620.5,1.63,0.88,0.75,4.47,4.8,4.13
Justin Patton,MIN,1,0,1,3.7,1347,0.26,0.12,0.13,4.81,4.57,2.47
Justise Winslow,MIA,67,32,35,24.7,9530.1,1.8,0.97,0.84,4.4,4.64,4.16
Jusuf Nurkic,POR,79,48,31,26.4,9804.6,1.86,1.02,0.84,4.25,4.57,3.92
Kadeem Allen,BOS,18,9,9,6,2288.2,0.43,0.24,0.19,4.38,4.83,3.9
Karl-Anthony Towns,MIN,82,47,35,35.6,12726.5,2.41,1.27,1.14,4.07,4.16,3.98
Kawhi Leonard,SAS,9,5,4,23.3,9013.4,1.71,0.95,0.76,4.5,4.87,4.05
Kay Felder,DET,16,6,10,8.7,3620.3,0.69,0.38,0.31,4.74,5.23,4.18
Kelly Olynyk,MIA,75,41,34,23.3,8836.6,1.67,0.91,0.76,4.32,4.64,3.99
Kelly Oubre Jr.,WAS,81,43,38,27.5,10154.4,1.92,1,0.92,4.23,4.39,4.07
Kemba Walker,CHA,80,36,44,34.2,12605.6,2.39,1.33,1.06,4.2,4.66,3.74
Kendrick Perkins,CLE,1,0,1,14.5,4639,0.88,0.45,0.43,3.73,3.51,3.13
Kenneth Faried,DEN,32,16,16,14.4,5387.3,1.02,0.55,0.47,4.28,4.52,4.01
Kent Bazemore,ATL,64,19,45,27.5,10803.3,2.05,1.08,0.96,4.49,4.73,4.24
Kentavious Caldwell-Pope,LAL,74,31,43,33.2,12474.7,2.36,1.22,1.14,4.35,4.7,4.04
Kevin Durant,GSW,68,49,19,34.2,12121.6,2.3,1.21,1.09,4.06,4.55,3.63
Kevin Love,CLE,59,37,22,28,10487.1,1.99,1.05,0.94,4.28,4.46,4.09
Kevon Looney,GSW,66,45,21,13.8,5374,1.02,0.54,0.48,4.47,4.76,4.18
Khem Birch,ORL,42,14,28,13.8,5142.2,0.97,0.52,0.45,4.32,4.53,4.11
Khris Middleton,MIL,81,44,37,36.4,13019.7,2.47,1.27,1.2,4.09,4.38,3.82
Klay Thompson,GSW,73,55,18,34.3,13170.3,2.49,1.31,1.18,4.4,4.92,3.94
Kobi Simmons,MEM,32,6,26,20.1,7950.2,1.51,0.82,0.69,4.54,4.78,4.26
Kosta Koufos,SAC,71,22,49,19.6,7439.1,1.41,0.74,0.66,4.36,4.56,4.16
Kris Dunn,CHI,52,19,33,29.3,11525,2.18,1.16,1.02,4.48,4.89,4.09
Kristaps Porzingis,NYK,48,22,26,32.4,11793.9,2.23,1.22,1.02,4.15,4.49,3.81
Kyle Anderson,SAS,74,41,33,26.7,10325.2,1.96,1.08,0.88,4.41,4.69,4.11
Kyle Collinsworth,DAL,32,9,23,15,6144.4,1.16,0.62,0.55,4.67,4.89,4.44
Kyle Korver,CLE,73,43,30,21.6,8390.6,1.59,0.83,0.76,4.44,4.78,4.12
Kyle Kuzma,LAL,77,34,43,31.2,12157.1,2.3,1.23,1.07,4.52,5.05,4.03
Kyle Lowry,TOR,78,57,21,32.2,11840.7,2.24,1.23,1.02,4.21,4.62,3.81
Kyle O'Quinn,NYK,76,27,49,17.9,6480.6,1.23,0.65,0.57,4.15,4.36,3.92
Kyle Singler,OKC,11,5,6,3.3,1266.1,0.24,0.13,0.11,4.31,4.73,3.92
Kyrie Irving,BOS,57,38,19,32.2,11906.3,2.25,1.24,1.02,4.22,4.65,3.78
LaMarcus Aldridge,SAS,75,45,30,33.5,12050.5,2.28,1.23,1.06,4.11,4.24,3.97
Lance Stephenson,IND,82,48,34,22.6,8020.4,1.52,0.8,0.72,4.06,4.23,3.89
Lance Thomas,NYK,72,24,48,18.4,7361.5,1.39,0.74,0.66,4.58,4.77,4.39
Langston Galloway,DET,58,28,30,14.9,5860.2,1.11,0.59,0.52,4.49,4.86,4.14
Larry Drew II,NOP,10,6,4,7,2819.7,0.53,0.29,0.25,4.55,4.97,4.3
Larry Nance Jr.,CLE,66,32,34,21.5,8494.7,1.61,0.84,0.77,4.5,4.92,4.12
Lauri Markkanen,CHI,68,23,45,29.7,11623.7,2.2,1.24,0.97,4.47,5.08,3.87
LeBron James,CLE,82,50,32,36.9,12545.3,2.38,1.25,1.12,3.88,4.1,3.66
London Perrantes,CLE,14,8,6,4.7,1687.5,0.32,0.18,0.14,4.13,4.35,3.69
Lonzo Ball,LAL,52,24,28,34.2,13089.1,2.48,1.3,1.18,4.46,4.93,4.03
Lorenzo Brown,TOR,14,9,5,9.9,3917.1,0.74,0.38,0.36,4.52,4.74,4.22
Lou Williams,LAC,79,42,37,32.8,11619.9,2.2,1.18,1.02,4.04,4.44,3.67
Luc Mbah a Moute,HOU,61,52,9,25.6,9125,1.73,0.9,0.83,4.05,4.25,3.86
Lucas Nogueira,TOR,49,36,13,8.5,3127.3,0.59,0.31,0.28,4.18,4.41,3.99
Luis Montero,DET,2,1,1,4,1571,0.3,0.15,0.15,4.53,4.46,4.61
Luke Babbitt,MIA,49,15,34,14.1,5714.3,1.08,0.6,0.48,4.62,5.06,4.18
Luke Kennard,DET,73,34,39,20,7799.3,1.48,0.81,0.67,4.47,4.89,4.06
Luke Kornet,NYK,20,6,14,16.3,6376.8,1.21,0.67,0.54,4.46,4.89,3.99
Luol Deng,LAL,1,0,1,13.1,5284,1,0.49,0.51,4.61,4.9,4.35
Malachi Richardson,TOR,26,8,18,12.4,4506.3,0.85,0.46,0.39,4.13,4.37,3.84
Malcolm Brogdon,MIL,47,25,22,29.8,11227.6,2.13,1.12,1.01,4.29,4.67,3.93
Malcolm Delaney,ATL,53,16,37,18.7,6922.2,1.31,0.71,0.6,4.23,4.57,3.89
Malcolm Miller,TOR,15,15,0,8.4,3478.8,0.66,0.36,0.3,4.74,4.89,4.58
Malik Beasley,DEN,62,34,28,9.4,3659.1,0.69,0.37,0.33,4.48,4.78,4.18
Malik Monk,CHA,63,26,37,13.6,5359.9,1.02,0.55,0.46,4.52,4.84,4.18
Mangok Mathiang,CHA,4,3,1,5,1933.3,0.37,0.21,0.15,4.59,4.51,4.01
Manu Ginobili,SAS,65,39,26,20,7363.5,1.39,0.77,0.62,4.2,4.52,3.86
MarShon Brooks,MEM,7,2,5,27.5,10125.6,1.92,1.04,0.88,4.18,4.37,3.99
Marc Gasol,MEM,73,21,52,33,10781.3,2.04,1.13,0.92,3.74,3.98,3.47
Marcin Gortat,WAS,82,43,39,25.3,9487.4,1.8,0.95,0.85,4.28,4.5,4.06
Marco Belinelli,PHI,79,39,40,24.3,9545.4,1.81,1,0.81,4.47,5.01,3.95
Marcus Georges-Hunt,MIN,42,24,18,5.3,1910.2,0.36,0.18,0.18,4.09,4.05,4.14
Marcus Morris,BOS,52,32,20,26.8,9677.3,1.83,1,0.83,4.12,4.41,3.82
Marcus Paige,CHA,5,4,1,5.6,2109.8,0.4,0.23,0.17,4.29,4.45,4.12
Marcus Smart,BOS,51,35,16,30.1,10837.5,2.05,1.09,0.96,4.1,4.36,3.83
Mario Chalmers,MEM,66,21,45,21.5,7854.1,1.49,0.84,0.65,4.16,4.59,3.71
Mario Hezonja,ORL,75,21,54,22.1,8259.7,1.56,0.85,0.72,4.29,4.63,3.95
Markel Brown,HOU,4,4,0,7.9,3063,0.58,0.3,0.28,4.39,4.42,4.37
Markelle Fultz,PHI,14,11,3,18.1,7396.1,1.4,0.76,0.64,4.67,5.07,4.27
Markieff Morris,WAS,73,37,36,27,9188.4,1.74,0.91,0.83,3.89,4.04,3.74
Marquese Chriss,PHX,72,19,53,21.2,8106.2,1.54,0.83,0.7,4.35,4.81,3.92
