Player_num,PLAYER,TEAM,AGE,GP,W,L,MIN,%FGA 2PT,%FGA 3PT,%PTS 2PT,%PTS 2PT MR,%PTS 3PT,%PTS FBPS,%PTS FT,%PTS OFFTO,%PTS PITP,2FGM %AST,2FGM %UAST,3FGM %AST,3FGM %UAST,FGM %AST,FGM %UAST
254,Langston Galloway,DET,26,58,28,30,14.9,35.9,64.1,28.3,12.8,62.5,5,9.2,20.3,15.6,45.1,54.9,92,8,73,27
254,DeAndre Liggins,NOP,30,58,34,24,12.5,50,50,41.6,17.8,56.4,17.8,2,14.9,23.8,42.9,57.1,94.7,5.3,67.5,32.5
260,Jose Calderon,CLE,36,57,33,24,16,47.6,52.4,37.6,14.9,52.9,10.2,9.4,13.3,22.7,22.9,77.1,82.2,17.8,51.6,48.4
260,Jordan Bell,GSW,23,57,43,14,14.2,97.8,2.2,88.5,7.6,0,17.9,11.5,18.3,80.9,73.3,26.7,0,0,73.3,26.7
260,Tim Hardaway Jr.,NYK,26,57,19,38,33.1,52.1,47.9,46.2,12.9,39.2,13.5,14.7,19,33.3,50.4,49.6,79.2,20.8,60.8,39.2
260,Patrick McCaw,GSW,22,57,41,16,16.9,64.4,35.6,63.8,8.7,24.9,14.8,11.4,23.1,55,69.9,30.1,100,0,76.1,23.9
260,Rudy Gay,SAS,31,57,36,21,21.6,78,22,66,17.4,16.9,9.8,17.1,14.7,48.5,40.3,59.7,86.5,13.5,47,53
260,Evan Fournier,ORL,25,57,20,37,32.2,58.2,41.8,47.6,11.5,37.6,11.1,14.8,16.3,36.1,57.3,42.7,84.3,15.7,66.6,33.4
260,Nikola Vucevic,ORL,27,57,17,40,29.5,75.7,24.3,71.4,19.4,20.4,7.7,8.2,14.1,52,67.2,32.8,100,0,72.4,27.6
267,Rudy Gobert,UTA,26,56,37,19,32.4,100,0,73,1.3,0,4.9,27,13.2,71.7,77.2,22.8,0,0,77.2,22.8
267,Tyler Dorsey,ATL,22,56,15,41,17.4,47.9,52.1,35.6,12.3,53.3,10.1,11.1,13.1,23.2,44.4,55.6,81.9,18.1,63.2,36.8
267,Ben McLemore,MEM,25,56,7,49,19.5,57.4,42.6,48.3,12.3,39.1,17.8,12.6,21.1,36,70.6,29.4,96.4,3.6,79.6,20.4
267,Andrew Harrison,MEM,23,56,17,39,23.7,66.9,33.1,50.3,13.5,26.5,12.8,23.3,15,36.8,13.4,86.6,74.5,25.5,29.3,70.7
271,Tony Parker,SAS,36,55,32,23,19.5,90.5,9.5,79.8,26.1,7.1,14.7,13.1,14.5,53.7,28.6,71.4,90,10,32,68
271,Nikola Mirotic,NOP,27,55,34,21,27.2,47.7,52.3,39.8,10.7,47.1,14.6,13,12,29.1,64.3,35.7,88.9,11.1,75.2,24.8
271,Cristiano Felicio,CHI,25,55,13,42,17.8,99.1,0.9,82.5,7.1,0,9.1,17.5,17.5,75.3,75.6,24.4,0,0,75.6,24.4
271,Joe Johnson,HOU,37,55,35,20,21.9,59.7,40.3,57,22.6,32.3,3.8,10.8,13.7,34.4,22.6,77.4,97.5,2.5,43.2,56.8
271,Joffrey Lauvergne,SAS,26,55,30,25,9.7,97.4,2.6,86.7,3.5,0,3.5,13.3,14.6,83.2,64.3,35.7,0,0,64.3,35.7
271,JaMychal Green,MEM,28,55,11,44,28,74,26,63.3,12,22.7,12,14.1,16.5,51.3,58.3,41.7,97.7,2.3,65.9,34.1
271,Miles Plumlee,ATL,29,55,19,36,16.7,100,0,88.6,1.7,0,6.3,11.4,16.5,86.9,78.1,21.9,0,0,78.1,21.9
278,Tyler Ennis,LAL,23,54,22,32,12.7,75,25,71.4,11.6,18.8,16.5,9.8,14.7,59.8,32.5,67.5,71.4,28.6,38.3,61.7
278,Sterling Brown,MIL,23,54,26,28,14.4,55.6,44.4,46.1,11.1,44.2,18,9.7,21.2,35,58,42,93.8,6.3,72,28
278,Devin Booker,PHX,21,54,16,38,34.5,63.6,36.4,45.8,18.9,32.8,13.7,21.5,10.3,26.9,33.8,66.2,61.2,38.8,42.6,57.4
278,Malcolm Delaney,ATL,29,54,16,38,18.8,56.5,43.5,37.3,18.9,40.8,10.7,21.9,18.3,18.3,39.7,60.3,73.9,26.1,54.1,45.9
278,Marcus Morris,BOS,28,54,34,20,26.7,61.7,38.3,48,22.1,35.1,6.3,16.9,14,25.9,48.3,51.7,91.9,8.1,62.6,37.4
278,Hassan Whiteside,MIA,29,54,30,24,25.3,99.7,0.3,82.2,9.3,0.8,1.3,17,14.5,72.9,58.7,41.3,100,0,59,41
278,Noah Vonleh,CHI,22,54,24,30,16.2,71.8,28.2,63.6,11.4,22.7,2.3,13.6,10.6,52.3,48.8,51.2,95,5,57.7,42.3
278,Shane Larkin,BOS,25,54,39,15,14.3,60.7,39.3,45.9,13,40.3,14.3,13.9,23.4,32.9,26.4,73.6,77.4,22.6,45.2,54.8
278,Paul Zipser,CHI,24,54,17,37,15.3,53,47,40.4,11,50.9,9.2,8.7,12.4,29.4,59.1,40.9,97.3,2.7,76.5,23.5
278,Marcus Smart,BOS,24,54,38,16,29.9,51.7,48.3,41.5,9.1,40.9,4.9,17.6,14.2,32.4,33.3,66.7,76,24,50.3,49.7
288,Joe Young,IND,26,53,28,25,10.5,64.5,35.5,53.1,22.2,36.2,9.7,10.6,13.5,30.9,27.3,72.7,84,16,45,55
288,Mike Muscala,ATL,26,53,14,39,20,46.5,53.5,40,5.9,45.9,6.7,14.1,12.3,34.1,65.4,34.6,100,0,80.4,19.6
288,Tristan Thompson,CLE,27,53,27,26,20.2,100,0,86,3.3,0,10.1,14,8.1,82.7,71.2,28.8,0,0,71.2,28.8
288,Arron Afflalo,ORL,32,53,16,37,12.9,56.8,43.2,42.5,20.1,45.3,7.8,12.3,18.4,22.3,63.2,36.8,92.6,7.4,75.4,24.6
288,Omri Casspi,GSW,30,53,40,13,14,89.4,10.6,73.3,5.3,10,18.3,16.7,23.3,68,79.1,20.9,100,0,80.8,19.2
288,Channing Frye,LAL,35,53,28,25,13.1,45.8,54.2,49.2,15.9,44.3,1.9,6.4,12.1,33.3,75.4,24.6,100,0,84.6,15.4
288,TJ Leaf,IND,21,53,31,22,8.7,69.1,30.9,59,9,34.6,8.3,6.4,17.9,50,50,50,100,0,64.1,35.9
288,Dwayne Bacon,CHA,22,53,25,28,13.5,77.6,22.4,69.7,32,18.9,8,11.4,17.7,37.7,52.5,47.5,100,0,59.7,40.3
296,Marreese Speights,ORL,30,52,15,37,13,33.2,66.8,25.9,9,64.2,6.2,10,10,16.9,61.5,38.5,97.7,2.3,84.1,15.9
296,Tyreke Evans,MEM,28,52,19,33,30.9,64.6,35.4,49.9,6.7,33.9,16.2,16.2,15.4,43.2,22.6,77.4,48.2,51.8,30.6,69.4
296,Lonzo Ball,LAL,20,52,24,28,34.2,47.7,52.3,42.8,4.9,51.1,13.6,6.1,17.6,37.9,31.9,68.1,74.4,25.6,50.7,49.3
296,Kris Dunn,CHI,24,52,19,33,29.3,79.9,20.1,69.5,24.3,18.5,11.2,12,16.2,45.2,17.3,82.7,62.8,37.2,24.1,75.9
296,Nene,HOU,35,52,42,10,14.6,99.2,0.8,80,9.4,0,5.6,20,11.2,70.6,78.7,21.3,0,0,78.7,21.3
296,Timothe Luwawu-Cabarrot,PHI,23,52,29,23,15.5,40.8,59.2,31.4,2.7,53.2,13.7,15.4,13.7,28.8,85.1,14.9,96.2,3.8,91,9
296,Cheick Diallo,NOP,21,52,29,23,11.2,100,0,80.3,13.4,0,9.8,19.7,14.2,66.9,82.4,17.6,0,0,82.4,17.6
296,Frank Mason,SAC,24,52,17,35,18.9,77.4,22.6,54.7,16,22.5,15.3,22.8,16.2,38.7,25.7,74.3,48.4,51.6,30.6,69.4
296,Michael Carter-Williams,CHA,26,52,23,29,16.1,74.2,25.8,51.9,6.7,17.6,7.5,30.5,14.6,45.2,33.9,66.1,85.7,14.3,43.4,56.6
296,Sean Kilpatrick,CHI,28,52,22,30,12.3,51,49,38.8,7.9,41.8,15.8,19.4,14.2,30.9,46.9,53.1,76.1,23.9,59.1,40.9
306,Tarik Black,HOU,26,51,40,11,10.5,91.3,8.7,82.2,0,1.7,1.1,16.1,14.4,82.2,82.4,17.6,100,0,82.7,17.3
306,Greg Monroe,BOS,28,51,21,30,20.4,100,0,83.2,4.6,0,2.5,16.8,15.1,78.6,51.4,48.6,0,0,51.4,48.6
306,Stephen Curry,GSW,30,51,41,10,32,42,58,32.1,11.6,47.3,16.4,20.7,16.3,20.5,41.7,58.3,61.8,38.2,51.6,48.4
306,Jason Terry,MIL,40,51,27,24,16,25.3,74.7,22.9,10.8,72.3,21.7,4.8,21.1,12,57.9,42.1,97.5,2.5,84.7,15.3
310,Jameer Nelson,DET,36,50,25,25,20.3,49.2,50.8,43.7,18.6,49.8,7.7,6.5,14.6,25.1,38.9,61.1,63.4,36.6,49.5,50.5
310,Luke Babbitt,MIA,29,50,15,35,14.3,27.4,72.6,23.9,13.1,69.5,6.6,6.6,19.3,10.8,54.8,45.2,98.3,1.7,83.5,16.5
312,Lucas Nogueira,TOR,25,49,36,13,8.5,76.3,23.8,72.1,0,12.3,6.6,15.6,27.9,72.1,81.8,18.2,100,0,83.7,16.3
313,Jared Dudley,PHX,32,48,7,41,14.3,34.4,65.6,25,5.3,57.2,5.9,17.8,16.4,19.7,78.9,21.1,100,0,91.7,8.3
313,Jawun Evans,LAC,21,48,24,24,16.2,78.7,21.3,64.1,17.3,19.5,14.7,16.5,19.5,46.8,39.2,60.8,73.3,26.7,44.9,55.1
313,Richaun Holmes,PHI,24,48,30,18,15.5,87.1,12.9,84.2,3.9,3.9,10,11.9,15.8,80.4,77.1,22.9,100,0,77.8,22.2
313,Kristaps Porzingis,NYK,22,48,22,26,32.4,74.4,25.6,55.1,24.1,24.8,5.1,20,12.7,31.1,64.7,35.3,98.9,1.1,72.6,27.4
313,D'Angelo Russell,BKN,22,48,16,32,25.7,58.6,41.4,50.6,15.1,36.3,9.3,13.1,10.9,35.5,14.4,85.6,64.4,35.6,30.6,69.4
313,Abdel Nader,BOS,24,48,33,15,10.9,56.4,43.6,37,2.7,47.3,11.6,15.8,20.5,34.2,33.3,66.7,95.7,4.3,62,38
313,Willy Hernangomez,CHA,24,48,20,28,10.3,92.7,7.3,69.9,2.4,6.1,2.8,24,13.4,67.5,67.4,32.6,100,0,69.2,30.8
313,DeMarcus Cousins,NOP,27,48,27,21,36.2,66,34,49.9,5,25.8,7.4,24.3,13.7,45,41.1,58.9,94.2,5.8,54.7,45.3
313,Malcolm Brogdon,MIL,25,48,25,23,29.9,68,32,58.2,9.3,29.8,13,12,14.7,49,39.6,60.4,72.6,27.4,48,52
322,Tyson Chandler,PHX,35,46,15,31,25,100,0,80.7,0.7,0,10.3,19.3,11,80,66.9,33.1,0,0,66.9,33.1
322,Avery Bradley,LAC,27,46,22,24,31.2,67.5,32.5,56.1,20.1,34.3,12.8,9.6,19.5,36,68.5,31.5,92,8,75.3,24.7
324,Reggie Jackson,DET,28,45,27,18,26.7,70.7,29.3,59.1,17.4,23.8,7,17.1,16,41.8,8.8,91.2,57.7,42.3,19.1,80.9
324,Milos Teodosic,LAC,31,45,29,16,25.2,35.6,64.4,29.4,16.3,61.5,5.8,9.1,9.1,13.1,30.2,69.8,70.5,29.5,53.6,46.4
326,Damyean Dotson,NYK,24,44,11,33,10.8,57.8,42.2,54.9,23.1,36.3,13.2,8.8,13.7,31.9,64,36,100,0,75,25
327,Ivica Zubac,LAL,21,43,19,24,9.5,99.2,0.8,75.8,2.5,0,11.8,24.2,8.7,73.3,65.6,34.4,0,0,65.6,34.4
327,Shabazz Muhammad,MIL,25,43,25,18,9.7,85.6,14.4,72,6.5,9.8,20.6,18.2,16.8,65.4,54.5,45.5,85.7,14.3,57.1,42.9
329,Khem Birch,ORL,25,42,14,28,13.8,100,0,76.4,3.4,0,3.9,23.6,9,73,70.6,29.4,0,0,70.6,29.4
329,Willie Reed,DET,28,42,20,22,10.2,98.3,1.7,82.1,5.1,1.5,4.1,16.4,15.4,76.9,70,30,0,100,69.1,30.9
329,Marcus Georges-Hunt,MIN,24,42,24,18,5.3,68.8,31.3,57.6,6.8,20.3,25.4,22,22,50.8,41.2,58.8,75,25,47.6,52.4
332,Raul Neto,UTA,26,41,28,13,12.2,68.9,31.1,54.6,4.4,31.1,9.8,14.2,20.2,50.3,30,70,94.7,5.3,47.8,52.2
332,Nik Stauskas,BKN,24,41,14,27,12.8,35.1,64.9,22.1,4.4,66.3,8.3,11.6,12.2,17.7,45,55,77.5,22.5,66.7,33.3
332,John Wall,WAS,27,41,23,18,34.4,75,25,54.7,14.8,23.3,17.7,22,18.9,39.9,10.1,89.9,64.5,35.5,22.1,77.9
332,Gerald Green,HOU,32,41,33,8,22.7,27.8,72.2,23.3,7.2,66.4,12.9,10.3,15.3,16.1,50,50,77.3,22.7,67.9,32.1
336,Andre Roberson,OKC,26,39,24,15,26.6,77.8,22.2,81.4,0,12.4,22.2,6.2,23.2,81.4,75.9,24.1,100,0,78.2,21.8
336,Boban Marjanovic,LAC,29,39,18,21,8.7,100,0,67.2,2.6,0,3.4,32.8,8.9,64.7,62,38,0,0,62,38
336,Torrey Craig,DEN,27,39,22,17,16.1,57.7,42.3,55.2,6.1,31.3,9.2,13.5,9.8,49.1,64.4,35.6,100,0,74.2,25.8
336,Tyler Cavanaugh,ATL,24,39,11,28,13.3,41.4,58.6,38.3,6.6,52.5,7.1,9.3,9.3,31.7,68.6,31.4,100,0,83.6,16.4
336,Jerryd Bayless,PHI,29,39,21,18,23.7,44.3,55.7,35.8,7.2,52.8,10.4,11.4,12.4,28.7,72.7,27.3,96.3,3.7,84.4,15.6
341,Thabo Sefolosha,UTA,34,38,16,22,21.2,65,35,55.1,9,30.8,16.3,14.1,26,46.2,64,36,90.6,9.4,71.2,28.8
341,Paul Millsap,DEN,33,38,22,16,30.1,74,26,58.7,9.7,21.1,6.5,20.2,13.3,49,49.1,50.9,94.9,5.1,57.9,42.1
341,C.J. Williams,LAC,28,38,17,21,18.6,60.4,39.6,62.2,16.3,31.6,15.3,6.2,12.4,45.9,67.7,32.3,77.3,22.7,70.1,29.9
341,Henry Ellenson,DET,21,38,21,17,8.7,58.9,41.1,43.7,6.6,39.7,11.3,16.6,17.9,37.1,45.5,54.5,100,0,66,34
341,Justin Anderson,PHI,24,38,27,11,13.7,49,51,44.9,5.1,43.2,14.8,11.9,16.1,39.8,67.9,32.1,94.1,5.9,78.2,21.8
341,Matthew Dellavedova,MIL,27,38,21,17,18.7,48.7,51.3,31.7,6.1,53,7.3,15.2,11.6,25.6,26.9,73.1,89.7,10.3,60,40
347,Alex Caruso,LAL,24,37,16,21,15.2,62.9,37.1,55.2,6,29.1,20.1,15.7,16.4,49.3,51.4,48.6,61.5,38.5,54,46
348,Johnny O'Bryant III,CHA,25,36,15,21,10.5,74.9,25.1,63.2,25.7,24.6,4.7,12.3,14.6,37.4,57.4,42.6,92.9,7.1,64.7,35.3
348,Trey Burke,NYK,25,36,10,26,21.8,72.7,27.3,67.2,38.6,24.7,9.3,8,12.8,28.6,22.6,77.4,78.9,21.1,33.7,66.3
348,Al Jefferson,IND,33,36,17,19,13.4,98.6,1.4,88.1,26.2,0,1.6,11.9,13.1,61.9,59.5,40.5,0,0,59.5,40.5
348,Chandler Parsons,MEM,29,36,12,24,19.2,48.3,51.7,40.1,12,53.9,9.9,6,15.5,28.2,36.8,63.2,82.4,17.6,58.3,41.7
348,Ivan Rabb,MEM,21,36,6,30,14.3,100,0,85.6,25.9,0,7,14.4,13.9,59.7,68.6,31.4,0,0,68.6,31.4
348,Mike James,NOP,27,36,11,25,19.1,69.5,30.5,57.7,10.7,23.2,9.5,19,20.5,47,8.2,91.8,26.9,73.1,12.2,87.8
354,Wayne Selden,MEM,23,35,10,25,19.8,54.6,45.4,41.2,10.5,45.2,18.2,13.5,16.6,30.8,40.3,59.7,85.7,14.3,59.5,40.5
355,Jake Layman,POR,24,34,21,13,4.7,57.4,42.6,58.8,17.6,35.3,20.6,5.9,38.2,41.2,60,40,100,0,71.4,28.6
356,Meyers Leonard,POR,26,33,17,16,7.7,66.7,33.3,62.5,19.6,29.5,3.6,8,8.9,42.9,77.1,22.9,100,0,82.6,17.4
356,Jason Smith,WAS,32,33,15,18,8.6,72.2,27.8,72.6,35.4,10.6,3.5,16.8,11.5,37.2,85.4,14.6,100,0,86.7,13.3
356,Quinn Cook,GSW,25,33,21,12,22.4,58.7,41.3,48.7,20.5,44.2,21.8,7.1,20.8,28.2,40.8,59.2,76.1,23.9,54.1,45.9
356,Guerschon Yabusele,BOS,22,33,24,9,7.1,39.3,60.7,35.4,7.6,45.6,6.3,19,6.3,27.8,78.6,21.4,100,0,88.5,11.5
356,Cody Zeller,CHA,25,33,14,19,19,98.1,1.9,71.2,8.6,2.6,5.2,26.2,17.6,62.7,79.5,20.5,100,0,80,20
361,Kobi Simmons,MEM,20,32,6,26,20.1,79.4,20.6,70.4,10.2,16.8,21.9,12.8,23.5,60.2,43.5,56.5,81.8,18.2,48.8,51.3
361,Ante Zizic,CLE,21,32,21,11,6.7,100,0,82.4,1.7,0,0,17.6,11.8,80.7,63.3,36.7,0,0,63.3,36.7
361,Aaron Brooks,MIN,33,32,19,13,5.9,55.1,44.9,45.3,21.3,44,2.7,10.7,10.7,24,11.8,88.2,81.8,18.2,39.3,60.7
361,Isaiah Thomas,LAL,29,32,15,17,26.9,55.3,44.7,42,13.6,34,17.3,24.1,15.2,28.4,27.5,72.5,54.5,45.5,36.9,63.1
361,Kenneth Faried,DEN,28,32,16,16,14.4,99.3,0.7,80.9,5.3,0,16.5,19.1,16.5,75.5,69.7,30.3,0,0,69.7,30.3
361,Kyle Collinsworth,DAL,26,32,9,23,15,82.8,17.2,67.3,0,11.9,6.9,20.8,14.9,67.3,29.4,70.6,100,0,36.8,63.2
367,Timofey Mozgov,BKN,31,31,12,19,11.6,80.6,19.4,73.3,1.5,9.2,5.3,17.6,7.6,71.8,77.1,22.9,100,0,78.8,21.2
367,Dakari Johnson,OKC,22,31,21,10,5.2,100,0,80,18.2,0,10.9,20,29.1,61.8,72.7,27.3,0,0,72.7,27.3
367,Jabari Parker,MIL,23,31,16,15,24,75.6,24.4,66,17.9,23.8,14.6,10.2,18.4,48.1,58.1,41.9,96.8,3.2,65.6,34.4
370,Tyrone Wallace,LAC,24,30,17,13,28.4,83.8,16.2,68.7,5.5,10.3,27.5,21,18.6,63.2,58,42,100,0,61.8,38.2
370,Dion Waiters,MIA,26,30,16,14,30.6,58.5,41.5,51.7,13.1,36.4,6.8,11.9,14.7,38.7,17.1,82.9,76.9,23.1,36.2,63.8
370,Nerlens Noel,DAL,24,30,6,24,15.7,99,1,84,3.1,0,1.5,16,19.1,80.9,80,20,0,0,80,20
373,Ron Baker,NYK,25,29,12,17,13.3,44.1,55.9,25.4,2.8,46.5,2.8,28.2,18.3,22.5,55.6,44.4,72.7,27.3,65,35
373,Dwight Buycks,DET,29,29,10,19,14.7,77.3,22.7,62.3,23.3,20.9,12.1,16.7,20,39.1,28.4,71.6,40,60,30.5,69.5
375,Jahlil Okafor,BKN,22,28,7,21,12.6,97.1,2.9,86.4,8,1.7,3.4,11.9,9.1,78.4,48.7,51.3,0,100,48.1,51.9
375,Brandan Wright,HOU,30,28,11,17,13.6,100,0,84.9,4.3,0,15.8,15.1,15.8,80.6,81.4,18.6,0,0,81.4,18.6
375,Rashad Vaughn,ORL,21,28,13,15,7.6,33.9,66.1,28.1,9.4,65.6,7.8,6.3,20.3,18.8,77.8,22.2,100,0,91.3,8.7
375,Ramon Sessions,WAS,32,28,10,18,14,77.8,22.2,50,5.9,17.6,8.1,32.4,17.6,44.1,44.1,55.9,87.5,12.5,52.4,47.6
379,Caleb Swanigan,POR,21,27,16,11,7,86.7,13.3,75.4,6.6,4.9,8.2,19.7,14.8,68.9,69.6,30.4,100,0,70.8,29.2
379,Jonathan Isaac,ORL,20,27,11,16,19.8,68.3,31.7,53.8,8.3,33.1,12.4,13.1,23.4,45.5,66.7,33.3,100,0,76.4,23.6
381,Emeka Okafor,NOP,35,26,16,10,13.6,100,0,84.2,15.8,0,11.4,15.8,14,68.4,79.2,20.8,0,0,79.2,20.8
381,Malachi Richardson,TOR,22,26,8,18,12.4,55.6,44.4,40.4,22.5,40.4,10.1,19.1,24.7,18,61.1,38.9,83.3,16.7,70,30
381,DeAndre' Bembry,ATL,23,26,8,18,17.5,76.6,23.4,61.8,1.5,24.3,20.6,14,22.8,60.3,40.5,59.5,100,0,52.8,47.2
384,Alex Poythress,IND,24,25,10,15,4.2,57.7,42.3,53.8,0,46.2,7.7,0,7.7,53.8,71.4,28.6,100,0,81.8,18.2
384,Derrick Rose,MIN,29,25,15,10,16.8,83.9,16.1,70.8,11.5,10,16.3,19.1,14.8,59.3,40.5,59.5,57.1,42.9,42,58
384,Juancho Hernangomez,DEN,22,25,15,10,11.1,33.3,66.7,36.6,2.4,51.2,15.9,12.2,13.4,34.1,53.3,46.7,92.9,7.1,72.4,27.6
384,Cameron Payne,CHI,23,25,7,18,23.3,57.7,42.3,47.1,9,47.5,19.5,5.4,12.2,38,15.4,84.6,62.9,37.1,34.5,65.5
388,Zach LaVine,CHI,23,24,9,15,27.3,65.4,34.6,46.9,9,31.4,15,21.7,15,37.9,30.9,69.1,47.6,52.4,36,64
